EPA File No.,Complainant/Attorney,Date of Title VI complaint,Accused Agency,Claim of Discrimination,Concern Employment Discrimination? Y/N,Grievance Summary,Neighborhood,City,State,County,Date EPA received complaint,Complaint filed within 180 day limit? ,Complaint describes Title VI prohibited discrimination? ,Accused agency receives EPA funding? ,OCR Review Ruling,Referred agency,Date OCR sent review response to complainant,OCR InvestigationDate ,Final Adjudication & Reason,CPI OCR FINAL INVESTIGATION DATE ,Documents
08R-97-R9,Chester Street Block Club Association,6/5/97,California EPA Dept. of Toxic Substances Control,"RACE, COLOR, NATIONAL ORIGIN",,Complaint alleged the piecemeal cleanup of toxic contamination in a neighborhood and an inadequate channel for accepting feedback were  discriminatory. ,"Between Mandela Parkway, 3rd Street, the rail corridor and West Grand Avenue",WEST OAKLAND,CA,,6/10/97,N/A,N/A,N/A,Accepted,,9/11/97,,Pending,N/A,https://www.documentcloud.org/documents/2162536-epa_08r-97-r9.html
08R-98-R3,Mattaponi Indian Tribe,6/16/98,"Virgina State Water Control Board, Virginia Dept. of Environmental Quality","RACE, NATIONAL ORIGIN",No,Complaint alleged regulators discriminated by refusing to consider the tribe's treaty rights before issuing a permit allowing a reservoir to flood tribal land and impact subsistence fishing.,Mattaponi Indian Reservation,,VA,KING WILLIAM COUNTY,6/16/98,N/A,N/A,N/A,No Review,,7/18/99,,Dismissed without prejudice,7/18/99,https://www.documentcloud.org/documents/2162537-epa_08r-98-r3.html
08R-99-R2,Mercury Poisoning Project,3/8/99,,,,Complaint alleged sales of unlabelled mercury put minority residents at risk.  ,Bronx,,,,3/1/99,N/A,N/A,N/A,No Review,US Department of Health and Human Services,N/A,,Closed - Referred,11/1/01,https://www.documentcloud.org/documents/2162538-epa_08r-99-r2.html
09R-00-R9,"Center on Race, Poverty and the Environment; California Rural Legal Assistance Foundation",8/7/00,Arizona Dept. of Environmental Quality ,RACE,No,Complaint alleged the state discriminated by approving a permit for a waste storage and treatment facility.  ,South Phoenix,PHOENIX,AZ,MARICOPA COUNTY,8/7/00,Yes,Yes,Yes,Accepted,,12/11/01,4/30/03,Dismissed,4/30/03,https://www.documentcloud.org/documents/2162539-epa_09r-00-r9.html
09R-01-R4,Redacted,July,"Alabama Dept. of Environmental Management, Houston County Health Dept.",RACE,No,Complaint alleged failure to revoke a permit for a fertilizer plant with dozens of serious violations amounted to negligence. ,,DOTHAN,AL,,9/1/01,No,N/A,No,Rejection,EPA's Office of Environmental Justice,10/31/01,,"Denied - Untimely, Referred",,https://www.documentcloud.org/documents/2162540-epa_09r-01-r4.html
09R-02-R6,Citizens for Alternatives to Radioactive Dumping; Conservative Use of Resources and the Environment; Water Information Network,9/12/02,New Mexico Environment Dept.,"RACE, COLOR, NATIONAL ORIGIN",No,Complaint alleged permitting of a waste storage/disposal facility would disproportionately impact Latino residents. ,40 miles east,ROSWELL,NM,CHAVES COUNTY,9/1/02,Yes,Yes,Yes,Accepted,,6/27/05,,Pending,N/A,https://www.documentcloud.org/documents/2162541-epa_09r-02-r6.html
09R-03-R6,La Cienega Valley Citizens for Environmental Safeguards,9/25/03,"University of California, National Nuclear Security Administration, Los Alamos National Laboratory","RACE, NATIONAL ORIGIN, INCOME",No,"Complaint alleged inadequate environmental assessment for facility expansion, unequal working conditions for employees of color and toxic waste dumping that threatened water supplies. ",,LOS ALAMOS,NM,,11/2/03,N/A,N/A,No,No Review,US Education Department,2/3/04,,Closed - Referred,2/3/04,https://www.documentcloud.org/documents/2162542-epa_09r-03-r6.html
09R-04-R7,Redacted,10/3/03,"Linn County Dept. of Public Health, Robins Board of Supervisors",DISABILITY,No,"Complaint alleged county allowed open burning of yard waste, creating a respiratory hazard. ",,ROBINS,IA,LINN COUNTY,9/8/04,No,N/A,N/A,Rejection,,12/22/06,,Denied - Untimely,,https://www.documentcloud.org/documents/2162543-epa_09r-04-r7.html
09R-05-R4,Partners Against Larmore Expansion,1/6/05,Georgia Dept. of Corrections. Fulton County Board of Commissioners,RACE,No,Complaint alleged a correctional facility expansion would have an adverse impact on the wetlands and nearby community. ,"Valley Lakes, Littleton Woods, Lake Overlook, Deep Creek, Forest Downs, Wellington, Wexford subdivisions and Highpoint Villas and Lake Overlook town home communities",UNION CITY,GA,FULTON COUNTY,3/20/05,No,No,No,Rejection,,2/16/06,,"Denied - Financial, Claims, Untimely",,https://www.documentcloud.org/documents/2162546-epa_09r-05-r4.html
09R-06-R4,Redacted,6/29/06,Western Wake Parnership,"RACE, INCOME",No,Complaint alleged a farm was condemned to build a sewage plant and that officials disregarded a list of alternatives. ,,NEW HILL,NC,,7/3/06,No,N/A,N/A,Rejection,,11/21/07,,Denied - Untimely,,https://www.documentcloud.org/documents/2162547-epa_09r-06-r4.html
09R-07-R2,Redacted,8/13/07,New York City Dept. of Environmental Protection,"RACE, INCOME, AGE",No,Complainant said she was not being protected from damage to her home from nearby construction because of her race and income. ,,NEW YORK,NY,,8/20/07,N/A,N/A,N/A,No Review,,3/26/10,,Dismissed,3/26/10,https://www.documentcloud.org/documents/2162548-epa_09r-07-r2.html
09R-09-R6,Concerned citizens of University Place subdivision,10/1/09,City of Baton Rouge,,No,"Complaint alleged a sewage treatment plant was allowed to expand toward the University Place community, subjecting minority residents to odors and exposure to sewer flies. ",University Place subdivision,BATON ROUGE,LA,,10/2/09,No,No,N/A,No Review,,3/11/10,,Dismissed without prejudice; Denied - Untimely,9/28/12,https://www.documentcloud.org/documents/2162549-epa_09r-09-r6.html
09R-11-R10,Redacted,3/11/11,"Washington Department of Ecology, City of Quincy, Quincy Port District",RACE,No,Complaint alleged the expansion of a permit would diesel engine exhaust particulate matter in the area. ,,QUINCY,WA,,8/10/11,No,N/A,N/A,No Review,,8/2/12,,Dismissed without prejudice,8/2/12,https://www.documentcloud.org/documents/2162550-epa_09r-11-r10.html
09R-12-R9,"Coalition for a Safe Environment, Association of Irritated Residents; California Communities Against Toxics; Society for Postive Action; West County Toxics Coalition",6/8/12,California Air Resources Board,RACE,No,Complaint alleged a cap-and-trade would disproportionately impact communities of color because facilities could continue polluting and trade for credits to offset their emissions. ,,,CA,,6/11/12,No,N/A,N/A,Rejection,,7/12/12,,Denied - Untimely,,https://www.documentcloud.org/documents/2162551-epa_09r-12-r9.html
09R-13-R6,Redacted,2/18/13,Lott Realty Company,,No,Complaint alleged a realty company allowed sewage to seep into homes regularly.,,HOUSTON,TX,,3/5/13,N/A,No,No,Rejection,US Housing and Urban Development,9/30/13,,"Denied - Financial, Referred",,https://www.documentcloud.org/documents/2162553-epa_09r-13-r6.html
09R-97-R4,"Involved Citizens of Helena Community Inc. of Newberry, S.C. ",2/7/97,"South Carolina Dept. of Environmental Control, Newberry County",RACE,,Complaint alleged a solid waste landfill was purposefully routed toward a neighborhood with mostly minority residents and state officials' concerns about the site were ignored by county officials. ,Helena,NEWBERRY,SC,NEWBERRY COUNTY,3/1/97,N/A,Yes,No,Rejection,,10/28/97,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162554-epa_09r-97-r4.html
09R-98-R5,Redacted,6/27/98,"Michigan Dept. of Environmental Quality, Central Wayne Energy Recovery Limited Partnership ",RACE,No,Complaint alleged a facility would adversely and disproportionately impact the residents of Inkster.,,INKSTER,MI,WAYNE COUNTY,6/27/98,No,N/A,N/A,Rejection,,4/1/99,,Denied - Untimely,,https://www.documentcloud.org/documents/2162555-epa_09r-98-r5.html
09R-99-R4,West End Revitalization Association,2/10/99,"North Carolina Department of Transportation, City of Mebane",RACE,No,Complaint alleged the construction and operation of a sewage treatment facility near West End residents without sewer service was discriminatory.,West End,MEBANE,NC,ALAMANCE COUNTY,4/1/99,N/A,N/A,No,Rejection,,8/13/99,,Denied - Financial,,https://www.documentcloud.org/documents/2162556-epa_09r-99-r4.html
09S-10-R10,Redacted,3/21/10,Teledyne Wah Chang,SEX,No,Complaintant alleged father's illness was caused by exposure to radioactive chemicals while he worked at a facility. ,,ALBANY,OR,,3/30/10,No,N/A,No,Rejection,,5/6/10,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162557-epa_09s-10-r10.html
10D-06-R1,Redacted,7/28/06,City of Stamford,"RAGE, AGE ",Yes,Complaint alleged age discrimination after a man was told he was too old for a particular job. ,,STAMFORD,CT,,8/8/06,N/A,No,No,Rejection,,12/22/07,,Denied - Financial,,https://www.documentcloud.org/documents/2162558-epa_10d-06-r1.html
10D-10-R3,Redacted,4/21/10,Pennsylvania Dept. of Environmental Protection,DISABILITY,No,Complainant alleged being denied priviliges for a handicapped-accessible permit to repair a boat dock and sea wall on property. ,Canadohta Lake,UNION CITY,PA,,4/21/10,Yes,Yes,Yes,Accepted,,8/13/10,5/2/11,Dismissed,5/2/11,https://www.documentcloud.org/documents/2162560-epa_10d-10-r3.html
10D-13-R5,Redacted,6/22/12,Illinois Dept. of Public Health,,No,Complaint alleged a child was allowed to stay in a building built before 1978 with complicity of state employees and disregard for the child's potential exposure to lead. ,,CHAMPAIGN ,IL,,5/15/13,N/A,No,N/A,Rejection,,3/27/14,,Denied - Claims,,https://www.documentcloud.org/documents/2162561-epa_10d-13-r5.html
10Nr-11-R6,Redacted,9/6/11,Southwest Research Institute,NATIONAL ORIGIN,Yes,Complainant alleged termination was a result of filing a complaint against a supervisor. ,,SAN ANTONIO,TX,,10/3/11,N/A,No,No,Rejection,,7/2/12,,Denied - Financial,,https://www.documentcloud.org/documents/2162562-epa_10nr-11-r6.html
10R-00-R5,Citizens for Environmental Justice,10/2/00,"Cuyahoga County Commission, City of Cleveland, Cleveland City Council","RACE, INCOME",No,Complaint alleged the proposed siting of a juvenile detention facility was discriminatory and the process lacked meaningful public participation. ,East 93rd and Quincy Avenues,CLEVELAND,OH,CUYAHOGA COUNTY,10/2/00,N/A,N/A,N/A,No Review,US Justice Department,3/23/01,,Closed - Referred,3/23/01,https://www.documentcloud.org/documents/2162564-epa_10r-00-r5.html
10R-01-R9,Transporation Solutions Defense and Education Fund,9/7/01,"California Air Resources Board, Bay Area Air Quality Management District",RACE,No,Complaint alleged agencies administered a 2001 ozone attainment plan in a discriminatory way.,Bay Area ,,CA,,9/1/01,No,N/A,N/A,Rejection,,11/21/01,,Denied - Moot,,https://www.documentcloud.org/documents/2162565-epa_10r-01-r9.html
10R-02-R4,Redacted,10/7/02,USFilter Kruger Products,"RACE, AGE, RETALIATION",Yes,Complaint alleged workplace retaliation after complainant found faults in the design work of a firm working with his company. ,,NEWTOWN CREEK,NY,,10/1/02,N/A,N/A,No,Rejection,"Raleigh Office of EEOC, which was already considering the complaint. ",1/30/03,,Denied - Financial,,https://www.documentcloud.org/documents/2162566-epa_10r-02-r4.html
10R-03-R5,Communities United for Action,8/26/03,"Ohio EPA, Environmental Review Appeals Commission",RACE,No,Complaint alleged waste transfer facility permit was discriminatory because environmental justice issues were not taken into account. ,,WINTON HILLS,OH,,9/2/03,No,N/A,No,Rejection,,8/16/05,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162571-epa_10r-03-r5.html
10R-04-R3,Redacted,7/3/04,Pennsylvania Dept. of Agriculture,,No,Complaint alleged discrimination in certification for commercial pesticide testing. ,,,PA,,10/3/04,No,N/A,No,Rejection,,10/20/05,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162573-epa_10r-04-r3.html
10R-05-R6,Redacted,6/2/05,City of Elgin,RETALIATION,No,Complainant claimed to be a victim of discrimination for challenging the city's refusal to deliver sewer and water services to a subdivision.,JC Madison subdivision,ELGIN,TX,,6/7/05,N/A,No,N/A,Rejection,,6/21/06,,Denied - Claims,,https://www.documentcloud.org/documents/2162576-epa_10r-05-r6.html
10R-07-R9,Don't Waste Arizona; Concerned Residents of South Phoenix,9/21/07,Maricopa County Air Quality Dept.,RACE,No,Complaint alleged the county failed to administer and maintain its Hazardous Air Pollutant permitting program in ways that protected minority communities.,"West and South Phoenix, next to Phoenix Brick Yard",PHOENIX,AZ,MARICOPA COUNTY,9/21/07,Yes,Yes,Yes,Accepted,,7/30/09,7/17/12,Dismissed,7/17/12,https://www.documentcloud.org/documents/2162577-epa_10r-07-r9.html
10R-09-R4,Rosemont Homeowners Association ,8/13/09,"South Carolina State Ports Authority, South Carolina Dept. Health & Environmental Control, South Carolina Dept. of Transportation",RACE,No,Complaint alleged a minority community was not considered when officials agreed to allow a marine container terminal to be built. ,Rosemont ,CHARLESTON,SC,,10/19/09,N/A,N/A,N/A,No Review,Federal Highway Administration,3/30/10,,Closed - Referred,3/30/10,https://www.documentcloud.org/documents/2162579-epa_10r-09-r4.html
10R-12-R9,"CRPE, Association of Irritated Residents, Committee for a Better Arvin & Comite Residentes Organizados Sevidores al Ambiente Sano (AIR)",8/26/11,,"RACE, INCOME",No,Complaint alleged an increase in motor vehicle registration fees would disproportionately affect people of color. ,,,CA,"KERNE, TULARE, FRESNO, KINGS",4/21/12,N/A,N/A,N/A,No Review,,12/18/12,,Dismissed without prejudice,12/18/12,https://www.documentcloud.org/documents/2162580-epa_10r-12-r9.html
10R-13-R5,Redacted,,Saginaw County Board of Commissioners,RACE,No,Complaint alleged minority inmates were provided foul water at  Saginaw Correctional Facility.,Tittabawassee Township,SAGINAW,MI,SAGINAW COUNTY,1/16/13,N/A,N/A,No,Rejection,US Justice Department,4/16/13,,Denied - Financial,,https://www.documentcloud.org/documents/2162581-epa_10r-13-r5.html
10R-97-R9,"Communities for a Better Environment, Los Angeles Comunidades Asambladas Unidas para un Sostenible Ambient-E (La Causa)",7/23/97,"California Air Resources Board, California South Coast Air Quality Management District",RACE,No,"Complaint alleged that a vehicle-scrapping program concentrated emissions from pre-1982 cars and trucks in a single neighborhood, forcing minority residents to bear a disproportionate share of harmful air emissions. ",,SAN PEDRO AND WILMINGTON,CA,,7/23/97,Yes,Yes,Yes,Accepted,,10/9/97,11/15/01,Closed - Withdrawn,11/15/01,https://www.documentcloud.org/documents/2162585-epa_10r-97-r9.html
10R-98-R2,The Point Community Development Corporation; Children's Enviornmental Health Project: Faile St. Neighborhood Association; Seneca Center; South Bronx Concerned Citizens; Unitas Theraputic Counseling; We Stay/Nos Quedamos; South Bronx Clean Air Coalition; Hutns Point Awareness Committee; Rice-Gonzales Public relations; Mothers on the Move; CineBronx Proudctions; 600s Marida Street Block Association; A=I; P.S. 48,5/26/98,"New York Dept. of Environmental Conservation, New York City Dept. of Sanitation ","RACE, INCOME",,Complaint alleged that regulators discriminated by concentrating waste processing facilities in predominantly minority communities in New York. ,Hunts Point/Mott Haven/Port Morris,THE BRONX,NY,,5/26/98,Yes,Yes,Yes,Accepted,,3/12/99,,Pending,N/A,https://www.documentcloud.org/documents/2162591-epa_10r-98-r2.html
10R-99-R4,Redacted,1/11/99,City of Rocky Mount,RACE,No,Complaint alleged that the floors in resident's home were badly damaged by raw sewage and waste and that the city refused to pay for repairs,N/A,ROCKY MOUNT,NC,N/A,2/1/99,No,N/A,No,Rejection,,7/30/99,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162594-epa_10r-99-r4.html
11D-13-R9,Redacted,9/25/12,Public Utilities Commission of Nevada,DISABILITY,No,"Complainant alleged being ""harmed"" by smart meters. ",,,NV,,6/10/13,N/A,N/A,No,Rejection,,12/20/13,,Denied - Financial,,https://www.documentcloud.org/documents/2162595-epa_11d-13-r9.html
11R-00-R5,Redacted,12/12/99,"Summit County Health Department, City of Twinsburg",RACE,,"Complaint alleged that the city refused to provide service to black residents in the township, despite recently upgrading city water and sewage facilities elsewhere. ",Twinsburg Township,,OH,SUMMIT COUNTY,10/1/00,N/A,N/A,No,Rejection,US Justice Department,12/27/01,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162597-epa_11r-00-r5.html
11R-01-R9,Citizens Environmental Awareness League,8/17/01,Maricopa County Environmental Services Dept.,RACE,,Complaint alleged inadequate opportunity for public participation.,,PHOENIX,AZ,MARICOPA COUNTY,9/1/01,Yes,Yes,Yes,Accepted,,12/20/01,9/13/02,Dismissed,9/13/02,https://www.documentcloud.org/documents/2162598-epa_11r-01-r9.html
11R-04-R5,Clean Air Madison,10/21/04,Wisconsin Dept. of Natural Resources,,No,"Complaint alleged residents' concerns about an air permit were ignored and more stringent requirements were placed on facilities located in affluent areas than in poorer, minority regions. ",Schenk-Atwood,MADISON,WI,,10/22/04,N/A,N/A,N/A,No Review,,11/15/05,,Dismissed without prejudice,11/15/05,https://www.documentcloud.org/documents/2162600-epa_11r-04-r5.html
11R-05-R6,Unlimited Hauling & Demolition,6/30/05,W.L. Hailey subcontractor,"RACE, SEX",No,Complaint alleged discrimination in the form of insurance requirements.,,AUSTIN,TX,,7/13/05,No,N/A,No,Rejection,,8/21/06,,"Denied - Financial, Claims, Untimely",,https://www.documentcloud.org/documents/2162601-epa_11r-05-r6.html
11R-07-R4,Redacted,5/20/07,Marion County Environmental Services,RACE,No,Complaint alleged that forcing residents to pay monthly fee for trash receptacles was discriminatory and tantamount to extortion. ,,,SC,MARION COUNTY,10/1/07,N/A,N/A,No,Rejection,,12/31/07,,Denied - Financial,,https://www.documentcloud.org/documents/2162604-epa_11r-07-r4.html
11R-09-R9,"Greenaction for Health and Environmental Justice, CRPE, & El Pueblo Para El Aire y Agua Limpo",10/15/09,"California Energy Commission, San Joaquin Valley Unified Air Pollution Control District","RACE, NATIONAL ORIGIN, LOW INCOME",No,Complaint alleged public hearing wasn't held in area closest to proposed plant to allow residents to voice concerns about a potential birth-defect and infant-mortality cluster. ,,AVENAL,CA,,10/1/09,Yes,Yes,Yes,Accepted,Department of Energy ; EPA's Office of Environmental Justice and EPA Region 9,8/6/10,2/1/13,Closed - Agreement,2/1/13,https://www.documentcloud.org/documents/2162605-epa_11r-09-r9.html
11R-10-R6,Community Development Corporation of Freedmen's Town,4/20/10,City of Houston Parks and Recreation Dept. ,"RACE, INCOME",No,Complaint alleged lack of community input or notification of potential hazards for local park.,San Felipe Park and Wiley Park,HOUSTON,TX,,4/21/10,N/A,N/A,No,Rejection,US Interior Department,7/9/10,,"Denied - Financial, Referred",,https://www.documentcloud.org/documents/2162606-epa_11r-10-r6.html
11R-11-R4,Redacted,11/30/11,Florida Dept. of Environmental Protection,RACE,No,Complaint alleges an air permit for a renewable energy center would cuase disparate impact to residents by exposing them to elevated cacinogen emissions. ,Millville/Highland View/Milltown,,FL,GULF COUNTY,5/1/11,Yes,Yes,Yes,Accepted,,3/22/12,1/14/13,Dismissed Without Prejudice,1/14/13,https://www.documentcloud.org/documents/2162607-epa_11r-11-r4.html
11R-97-R9,Manzanar Action Committee,8/7/97,California EPA Dept.of Toxic Substances Control,"RACE, COLOR, NATIONAL ORIGIN",,Complaint alleges the state failed to provide adequate public comment opportunities before issuing a hazardous waste operating permit for a facility's expansion in a poor community of color. ,,PICO RIVERA,CA,LOS ANGELES COUNTY,8/7/97,No,N/A,N/A,Rejection,,10/28/97,,Denied - Untimely,,https://www.documentcloud.org/documents/2162608-epa_11r-97-r9.html
11R-98-R9,United Paperworkers International Union ,10/6/98,"Arizona Dept. of Environmental Quality, Arizona Air Pollution Control Board ","RACE, INCOME, AGE",,Complaint alleged inadequate public participation regarding permitting for a cement plant expansion. ,,RILLITO AND MARANA,AZ,,10/13/98,Yes,Yes,Yes,Accepted,,12/11/01,,Pending,N/A,https://www.documentcloud.org/documents/2162610-epa_11r-98-r9.html
11R-99-R6,"Committee for Environmental Justice Action, Southwest Public Workers",4/30/99,"EPA Region 6, Texas Natural Resources Conservation Commission, City of San Antonio","RACE, NATIONAL ORIGIN",No,Complaint alleged Latino residents near Air Force base were improperly excluded  from meetings of the base closure team. ,North Kelly/East Kelly neighborhoods,SAN ANTONIO,TX,BEXAR COUNTY,5/1/99,Yes,Yes,Yes,Accepted,EPA's Office of Environmental Justice,9/1/99,11/21/02,Dismissed,11/21/02,https://www.documentcloud.org/documents/2162611-epa_11r-99-r6.html
12D-09-R8,Redacted,10/17/08,City of Rapid City,DISABILITY,No,Complaint alleged a city ordinance that allowed a neighbor to have a wood-burning stove created a health hazard. ,,RAPID CITY ,SD,PENNINGTON COUNTY,8/26/09,Yes,Yes,Yes,Accepted,,3/26/10,9/6/11,Dismissed,9/6/11,https://www.documentcloud.org/documents/2162612-epa_12d-09-r8.html
12R-00-R1,Redacted,9/28/00,HADCO Corporation,,Yes,Complainant alleged harrassment and discrimination after being injured on the job. ,,HUDSON,NH,,10/1/00,N/A,No,N/A,Rejection,"US Labor Department, Occupational Safety and Health Administration",12/5/00,,Denied - Financial,,https://www.documentcloud.org/documents/2162613-epa_12r-00-r1.html
12R-04-R9,Redacted,10/20/04,"San Francisco County, San Francisco Redevelopment Agency","RACE, INCOME",No,Complaint alleged the approval of a shipyard was discriminatory. ,,SAN FRANCISCO,CA,SAN FRANCISCO COUNTY,10/20/04,Yes,N/A,N/A,Accepted,Department of Navy,7/10/09,3/13/10,Closed - Referred,12/3/10,https://www.documentcloud.org/documents/2162614-epa_12r-04-r9.html
12R-05-R9,Redacted,7/14/05,"California EPA, Dept. of Toxic Substance Control, Contra Costa County County Public Health Dept.","RACE, SEX, DISABILITY",No,Complainant alleged inadequate public notice for a meeting held regarding a proposed facility. ,,,CA,,7/14/05,N/A,N/A,N/A,No Review,,3/23/08,,Dismissed,3/28/08,https://www.documentcloud.org/documents/2162615-epa_12r-05-r9.html
12R-06-R9,Redacted,8/14/06,Southern California Gas Company ,"RACE, NATIONAL ORIGIN, LOW INCOME",No,Complainant alleged workplace retaliation after reporting improper water-dumping practices. ,,SOUTH EL MONTE,CA,,8/14/06,Yes,Yes,Yes,Accepted,,3/14/08,6/14/09,Dismissed,6/14/09,https://www.documentcloud.org/documents/2162616-epa_12r-06-r9.html
12R-07-R4,Redacted,6/20/07,Marion County Environmental Services,,No,Complaint alleged that forcing residents to pay for trash pickup service they never requested was tantamount to extortion. ,,MARION,SC,,10/3/07,N/A,N/A,No,Rejection,,12/31/07,,Denied - Financial,,https://www.documentcloud.org/documents/2162617-epa_12r-07-r4.html
12R-12-R4,Redacted,8/7/12,"Alabama Dept. of Corrections, Barbour County Water System",INMATE,No,"Complaint alleges deplorable conditions in correctional facility, including sewage waste backups from toilets and potentially contaminated water. ",Easterling Correctional Facility,CLIO,AL,BARBER COUNTY,8/14/12,N/A,No,No,Rejection,DOJ Civil Rights Division,1/14/13,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162618-epa_12r-12-r4.html
12R-13-R4,Redacted,5/30/13,Alabama Dept. of Environmental Management,RACE,No,Complaint alleged a permit allowing a landfill to expand disproportinately impacted the African-American residents closest to the facility. ,,,AL,PERRY COUNTY,6/3/13,Yes,Yes,Yes,Accepted,,6/27/13,,Pending,N/A,https://www.documentcloud.org/documents/2162620-epa_12r-13-r4.html
12R-97-R3,North Back River Road Association,10/15/97,City of Hampton,RACE,,Complaint alleged no environmental assessment was performed to ensure risks were equally distributed among neighborhods before a vote allowing more development. ,,HAMPTON,VA,,11/1/97,N/A,No,No,Rejection,,12/1/97,,"Denied - Financial, Claims, Untimely",,https://www.documentcloud.org/documents/2162621-epa_12r-97-r3.html
12R-98-R5,Redacted,10/21/98,Michigan Dept. of Environmental Quality ,RACE,No,Complaint alleges the hazardous liquid waste being brought in to an injection disposal well is causing a disparate impact on locals who live nearby. ,,ROMULUS,MI,WAYNE COUNTY,10/21/98,N/A,N/A,No,Rejection,,2/18/99,,"Denied - Financial, Claims  ",,https://www.documentcloud.org/documents/2162622-epa_12r-98-r5.html
12R-99-R4,Redacted,5/4/99,North Carolina Dept. of Environment & Natural Resources,RACE,No,Complaint alleged the approval of a construction permit for a landfill was discriminatory because the community already had one. ,Easton Acres/Feltonsville neighborhoods,HOLLY SPRINGS,NC,WAKE COUNTY,5/1/99,Yes,N/A,N/A,No Review,,11/3/03,,Dismissed without prejudice,11/3/03,https://www.documentcloud.org/documents/2162623-epa_12r-99-r4.html
12Rr-10-R10,Redacted,5/18/09,"Oregon Land Use Board of Appeals, City of Rouge River, Jackson County",RACE,No,"Complaint alleged that a land developer was allowed to perform work without proper permitting or engineering, which placed complainant's property at risk of flooding.",,ROUGE RIVER,OR,JACKSON COUNTY,5/20/10,N/A,No,No,Rejection,,6/23/10,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162624-epa_12rr-10-r10.html
13R-00-R6,Texas State Conference of NAACP branches,9/28/00,,RACE,No,Complaint alleged agencies didn't properly assess disparate impacts on minority populations as a result of a pipeline.,Near the Longhorn Pipeline,AUSTIN,TX,HARRIS COUNTY,9/28/00,N/A,N/A,No,Rejection,EPA Office of Environmental Justice,7/10/01,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162625-epa_13r-00-r6.html
13R-04-R9,Californians for Renewable Energy ,N/A,Bay Area Air Quality Management,RACE,No,Complaint alleged officials failed to provide residents information on a facility's air quality compliance record or hold a public hearing for the facility's re-opened permit. ,,PITTSBURG,CA,,12/28/04,Yes,Yes,Yes,Accepted,,7/11/07,4/23/12,Dismissed,4/23/12,https://www.documentcloud.org/documents/2162626-epa_13r-04-r9.html
13R-05-R6,Redacted,10/18/05,"Texas Commission on Environmental Quality, El Paso City County Health Dept.","RACE, NATIONAL ORIGIN, RELIGION",No,Complaint alleged officials refused to remove contaminated materials from a cemetery where a Dia de Los Muertos ceremony traditionally had been performed. ,Smeltertown Cemetery,EL PASO ,TX,,10/24/05,N/A,N/A,N/A,No Review,,8/25/06,,Closed - Withdrawn,8/25/06,https://www.documentcloud.org/documents/2162627-epa_13r-05-r6.html
13R-06-R4,Friends of Five Mile Creek,8/8/06,Alabama Dept. of Environmental Management,RACE,No,Complaint alleged landfill permit was approved without consideration of impacts to nearby residents. ,,BIRMINGHAM,AL,JEFFERSON COUNTY,8/21/06,Yes,Yes,Yes,Accepted,,12/19/08,9/23/11,Dismissed without prejudice,9/23/11,https://www.documentcloud.org/documents/2162628-epa_13r-06-r4.html
13R-07-R4,Faith Tabernacle Oasis of Love,6/29/07,"North Carolina Dept. of Environment & Natural Resources, Orange County Board of Commissioners","RACE, RELIGION, AGE, DISABILITY",No,Complaint alleged siting of landfill was discriminatory. ,Rogers Road/Eubanks Road communities,"CHAPEL HILL, CARRBORO",NC,ORANGE COUNTY,10/4/07,Yes,Yes,Yes,Accepted,,11/23/09,,Pending,N/A,https://www.documentcloud.org/documents/2162630-epa_13r-07-r4.html
13R-10-R5,Chicago Legal Clinic,4/19/06,Illinois EPA ,RACE,No,Complaint alleged a lack of public notice and participation opportunities regarding the construction permit for a zinc sulfate processing plant. ,,FORD HEIGHTS,IL,,5/10/10,Yes,Yes,Yes,Accepted,,7/23/10,4/23/13,Closed - Settlement,4/23/13,https://www.documentcloud.org/documents/2162631-epa_13r-10-r5.html
13R-12-R4,Redacted,7/18/12,Florida Dept. of Environmental Protection,,No,"Complaint alleged the modification of a road made the area impassible during periods of heavy rain, isolating minority residents from public safety services. ",,PUNTA GORDA,FL,,7/24/12,No,No,N/A,Rejection,,12/7/12,,Denied,,https://www.documentcloud.org/documents/2162632-epa_13r-12-r4.html
13R-13-R6,"The racial minority City Councilmembers of the City of Hempstead, Texas ",8/9/13,"Texas Commission on Environmental Quality, Waller County",RACE,No,Complaint alleged the location of a solid waste landfill and transfer station disproportionately impacted communities of color. ,,HEMPSTEAD,TX,,8/12/13,N/A,N/A,No,Rejection,,7/2/14,,Dismissed without prejudice; Denied - Financial,7/2/14,https://www.documentcloud.org/documents/2162634-epa_13r-13-r6.html
