fy_rec'd,epa_file_#,summary_status,_merge,named_entity,clean_date_received,recent_status_date,time_difference,detailed_status,primary_status_map,simplified_status,compare_statuses,reason_for_rejection_if_applicable,presidential_administration,environmental_justice_issue_cited,city,state,zip_code,community_impacted,referred_agency,is_unique,filed_by_a_lawyer,group_filing,filed_on_behalf_of,epa_initiated_compliance_review,complaint_about_environmental_justice_matter,notes_on_ej_categorization,more_than_one_complaint,total_related_complaints,related_complaint_numbers,complaint_link,notes,additional_notes,disc_basis_1,disc_basis_2,related_documents,origin,final_adjudication_&_reason,disc_basis_3,disc_basis_4,disc_basis_5
fy17,13r-17-r9,closed,both,"city of oakland, ca & board of port commissioners",2017-04-05,2019-12-19,988.0,resolved through informal resolution agreement 7/25/2019; monitoring completed and case closed 12/19/2019,resolved,resolved: informal resolution agreement,False,,Trump,"Port of Oakland expansions expose directly impacted West Oakland residents, nearly 80 percent of whom are people of color, to ""severe air pollution emissions without adequate mitigation.""",Oakland,CA,multiple,Predominantly Black and Latino community,,yes,Yes,Earthjustice,West Oakland Environmental Indicators Project ,No,Yes,,Yes,2.0,"13r-17-r9, 14r-17-r9",https://www.epa.gov/system/files/documents/2022-09/13R-17-R9%20Complaint%20%28NR%29.pdf,,,race, national origin,13r-17-r9 complaint (pdf) (1.75 mb),epa,,,,
fy17,14r-17-r9,closed,both,port of oakland & board of port commissioners,2017-04-05,2019-11-27,966.0,resolved through informal resolution agreement 7/25/2019; monitoring completed and case closed 11/27/2019,resolved,resolved: informal resolution agreement,False,,Trump,"Port of Oakland expansions expose directly impacted West Oakland residents, nearly 80 percent of whom are people of color, to ""severe air pollution emissions without adequate mitigation.""",Oakland,CA,multiple,Predominantly Black and Latino community,,no,Yes,Earthjustice,West Oakland Environmental Indicators Project ,No,Yes,,Yes,2.0,"13r-17-r9, 14r-17-r9",https://www.epa.gov/system/files/documents/2022-09/14R-17-R9%20Complaint%20%28NR%29.pdf,,,race,,14r-17-r9 complaint (pdf) (1.75 mb),epa,,,,
fy17,11d-17-r7,closed,both,"city of merriam, ks",2017-03-31,2017-11-24,238.0,rejected 11/24/2017: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"City doesn't ban leaf burning; complainant is a disabled Vietnam veteran who writes that this situation means suffering with ""discrimination and health problems""",Merriam,KS,66203,Person with disabilities,,yes,No,Redacted individual,,No,Unlikely,"It's an environmental issue (pollution from burning leaves), but it doesn't seem to be describing a situation where the impact discriminates against a protected class",Yes,2.0,"11d-17-r7, 12d-17-r7",https://www.epa.gov/system/files/documents/2022-09/11D-17-R7%20Complaint_Redacted.pdf,,,disability,,11d-17-r7 complaint (pdf) (554.28 kb),epa,,,,
fy17,12d-17-r7,closed,both,"city of overland park fire dept., ks",2017-03-31,2017-11-24,238.0,rejected 11/24/2017: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"City doesn't ban leaf burning; complainant is a disabled Vietnam veteran who writes that this situation means suffering with ""discrimination and health problems""",Merriam,KS,66203,Person with disabilities,,no,No,Redacted individual,,No,Unlikely,"It's an environmental issue (pollution from burning leaves), but it doesn't seem to be describing a situation where the impact discriminates against a protected class",Yes,2.0,"11d-17-r7, 12d-17-r7",https://www.epa.gov/system/files/documents/2022-09/12D-17-R7%20Complaint_Redacted.pdf,,,disability,,12d-17-r7 complaint (pdf) (553.7 kb),epa,,,,
fy17,10d-17-r4,closed,both,"city of tallahassee, fl",2017-02-07,2018-03-01,387.0,rejected 3/1/2018: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"DOJ referred the complaint, which is about contaminated drinking water (discolored, with ""bacteria, high iron and High chlorine""). ""I am disabled & brown water issues are causing more health issues.""",Tallahassee,FL,32303,Person with disabilities,,yes,No,Redacted individual,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-09/10D-17-R4%20Complaint_Redacted.pdf,,,disability,,10d-17-r4 complaint (pdf) (370.92 kb),epa,,,,
fy17,09d-17-r9,closed,both,"city of south lake tahoe, ca",2017-02-06,2023-06-13,2318.0,rejected 12/27/2018: allegation not grounded in fact/not appropriate for investigation/untimely,rejected,rejected,True,"allegation not grounded in fact, not appropriate for investigation, untimely",Trump,"DOJ referred the complaint, which is about air toxics from an asphalt plant. ""People with immune system disabilities are much more vulnerable"" to these types of toxics, but the city has no provisions to protect complainant and others in that situation.",South Lake Tahoe,CA,96150,Person with disabilities,,yes,No,Redacted individual,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-09/09D-17-R9%20Complaint_Redacted.pdf,"Note: The start of the document shows another complaint, but scroll down for this one. On page 6 of the document, there's a question about efforts to resolve the complaint through internal grievance procedures and asks about the status. Answer: ""All sources claim 'no jurisdiction.'"" Later notes, ""There are no public entities that claim they can help disabled persons like me, who have unique vulnerabilities and are severely sensitive to airborne toxins. ... Six neighbors have died from cancer with no investigations.""",,disability,,09d-17-r9 complaint (pdf) (696.17 kb),epa,,,,
fy17,07r-17-r7,closed,both,missouri dnr,2016-12-27,2018-07-13,563.0,rejected 7/13/2018: untimely filed,rejected,rejected,True,untimely,Trump,"DOJ referred the complaint; city of Grandview, ""an environmental justice community,"" expressed environmental justice concerns about the state DNR's process for issuing a permit to Ideker in 2012 for an asphalt plant and effectively denied the city and its citizens opportunities for input",Grandview,MO,multiple,Predominantly Black and Latino residents,,yes,Yes,City of Grandview,,No,Yes,,Yes,2.0,"07r-17-r7, 08r-17-r7",https://www.epa.gov/system/files/documents/2022-09/07R-17-R7%20Complaint%20%28NR%29.pdf,,,race,,07r-17-r7 complaint (pdf) (516.22 kb),epa,,,,
fy17,08r-17-r7,closed,both,"kansas city, mo health dept.",2016-12-26,2017-08-14,231.0,administratively closed 8/14/2017: complainant withdrew complaint,rejected,closed: complaint withdrawn,False,,Trump,"DOJ referred the complaint; city of Grandview, ""an environmental justice community,"" expressed environmental justice concerns about the state DNR's process for issuing a permit to Ideker in 2012 for an asphalt plant and effectively denied the city and its citizens opportunities for input",Grandview,MO,multiple,Predominantly Black and Latino residents,,no,Yes,City of Grandview,,No,Yes,,Yes,2.0,"07r-17-r7, 08r-17-r7",https://www.epa.gov/system/files/documents/2022-09/08R-17-R7%20Complaint%20%28NR%29.pdf,,,race,,08r-17-r7 complaint (pdf) (516.22 kb),epa,,,,
fy17,06x-17-r5,closed,both,wisconsin dept. of corrections,2016-11-30,2017-08-03,246.0,rejected and referred to doj 8/3/2017: lack of jurisdiction,rejected and referred,rejected and referred,True,Lack of jurisdiction,Trump,Black mold in the showers located in cells is damaging the complainant's lungs. Flooding is also a problem and the drinking water seems contaminated; some prisoners were sickened. Complainant is concerned inmates will die.,Boscobel,WI,53805,Inmates,doj ,yes,No,Redacted individual,,No,Yes,"No mention of protected class, though there likely is one; the jail probably doesn't receive EPA funding",,1.0,,https://www.epa.gov/system/files/documents/2022-09/06X-17-R5%20Complaint_Redacted.pdf,"""I am a guy that's not ready for the WDOC to take my life and claim natural causes as I've known for them to do. ... They are violating my civil and federal rights to clean air, and to clean water. If you check, you'll see for yourself.""",,,,06x-17-r5 complaint (pdf) (1.15 mb),epa,,,,
fy17,03d-17-r4,closed,both,kentucky energy & envir. cabinet,2016-11-29,2023-06-13,2387.0,rejected 9/15/2017: allegation not grounded in fact/not appropriate for investigation,rejected,rejected,True,"allegation not grounded in fact, not appropriate for investigation",Trump,DOJ referred the complaint; the complainant had complained to the state EPA about fumes from a car-painting facility 20 feet from their house and was upset with how the agency handled it.,Barbourville,KY,40906,Person with disabilities,,yes,No,Redacted individual,,No,Possibly,,,1.0,,https://www.epa.gov/system/files/documents/2022-09/03D-17-R4%20Complaint%20Email_Redacted.pdf,This attachment has the meat of the complaint: https://www.epa.gov/system/files/documents/2022-09/03D-17-R4%20DOJ%20Complaint_Redacted_0.pdf. This is an internal email from a state employee about the matter: https://www.epa.gov/system/files/documents/2022-09/03D-17-R4%20Compl%20Attach1_Redacted.pdf,,disability,,03d-17-r4 complaint email (pdf) (53.53 kb) 03d-17-r4 doj complaint (pdf) (609.86 kb) 03d-17-r4 complaint attach1 (pdf) (4.98 mb) 03d-17-r4 complaint attach2 (pdf) (165.3 kb) 03d-17-r4 complaint attach3 (pdf) (7.95 mb),epa,,,,
fy17,04d-17-r9,closed,both,"avalonbay communities, inc.",2016-11-29,2017-11-03,339.0,rejected 11/3/2017: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"DOJ referred the complaint; the disabled complainant is chemically sensitive and cannot be exposed to pesticides, which the apartment complex is using",West Hills,CA,91308,Person with disabilities,,yes,No,Redacted individual,,No,Possibly,"Unlikely the apartment complex receives EPA funding, though",Yes,2.0,"04d-17-r9, 05d-17-r9",https://www.epa.gov/system/files/documents/2022-09/04D-17-R9%20Complaint_Redacted.pdf,,,disability,,04d-17-r9 complaint (pdf) (1.61 mb),epa,,,,
fy17,05d-17-r9,closed,both,oakwood worldwide,2016-11-29,2017-11-03,339.0,rejected 11/3/2017: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"DOJ referred the complaint; the disabled complainant is chemically sensitive and cannot be exposed to pesticides, which the apartment complex is using",West Hills,CA,91308,Person with disabilities,,no,No,Redacted individual,,No,Possibly,"Unlikely the apartment complex receives EPA funding, though",Yes,2.0,"04d-17-r9, 05d-17-r9",https://www.epa.gov/system/files/documents/2022-09/05D-17-R9%20Complaint_Redacted.pdf,,,disability,,05d-17-r9 complaint (pdf) (1.61 mb),epa,,,,
fy17,02r-17-r9,closed,both,calif. air resources board,2016-11-14,2016-12-05,21.0,administratively closed 12/5/2016: complainant withdrew complaint,rejected,closed: complaint withdrawn,False,,Obama,"The California Air Resources Board’s Cap and Trade program ""violates Title VI of the Civil Rights Act by denying Californian of color living near Cap and Trade facilities the benefits of direct emissions reductions,"" resulting in ""racially disparate impact based on the demographic composition of communities near Cap and Trade facilities compared to the unaffected population.""",multiple,CA,multiple,People of color,,yes,Yes,Coalition for a Safe Environment; Association of Irritated Residents; California Communities Against Toxics; Society for Positive Action; West County Toxics Coalition,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-09/02R-17-R9%20Complaint%20with%20Exhibits%20%28NR%29.pdf,"""Complainants respectfully request that OCR (1) articulate a standard for ripeness that will inform the public when a complainant should file a Title VI complaint; and (2) accept this Complaint for investigation. Even if OCR finds that this complaint is still not ripe for review, then OCR should nevertheless accept the complaint for investigation and hold the complaint in abeyance pending the action OCR deems necessary for ripeness.""",,race,,02r-17-r9 complaint (pdf) (25.28 mb),epa,,,,
fy17,01r-17-r5,closed,both,illinois epa,2016-11-02,2017-11-24,387.0,rejected 11/24/2017: lack of jurisdiction; untimely filed,rejected,rejected,True,"Lack of jurisdiction, untimely",Trump,"Referred by the White House, to which the complainant wrote asking for help, saying a state EPA inspector was targeting his medical waste treatment business and ""spoke personal racial attacks against me and my staff.""",Rockford,IL,61101,Not disclosed,,yes,No,Redacted individual,,No,No,Not about pollution or other environmental exposure,,1.0,,https://www.epa.gov/system/files/documents/2022-09/01R-17-R5%20WHCorrespondence2_Redacted.pdf,Attached: https://www.epa.gov/system/files/documents/2022-09/01R-17-R5%20WHCorrespondence1_Redacted.pdf,,race,,01r-17-r5 complaint (pdf) (657.7 kb) 01r-17-r5 wh corr 1 (pdf) (237.5 kb) 01r-17-r5 wh corr 2 (pdf) (9.55 kb),epa,,,,
fy16,48x-16-r6,closed,both,lewis unit (tx),2016-09-23,2016-12-19,87.0,resolved and closed administratively 12/19/2016: provided epa contact re: injection of flotation foam for boats,resolved,closed: not a complaint,False,"N/A; not actually a Title VI complaint, just a request for information",,Entrepreneur asks EPA generally (not Title VI office specifically) about hazards of floatation foam for boat manufacturing,Woodville,TX,not disclosed,Potential business owner,,,No,Redacted individual,,No,No,"Not a complaint, just a request for information",,1.0,,https://www.epa.gov/system/files/documents/2022-09/48X-16-R6%20Complaint%20Redacted.pdf,,,,,48x-16-r6 complaint (pdf) (409.36 kb),epa,,,,
fy16,46r-16-r4,closed,both,lee county (fl) school district,2016-09-22,2017-05-01,221.0,rejected 5/1/2017: lack of jurisdiction,rejected,rejected,True,Lack of jurisdiction,Trump,"Complaint was primarily to the U.S. Department of Education, secondarily to the EPA: Lee County School District was going to cause ""disparate discriminatory impact on students of color and race by siting a new Title I high school that has predominantly (more than 50%) Hispanic and Black student population in Bonita Springs Florida on a parcel of land that is contaminated by asbestos and diesel fuel, and the site is also located next to an extremely high-volume traffic roadway, federal Interstate I-75 generating additional air pollution."" ",Bonita Springs,FL,34135,Predominantly Black and Latino students,,yes,Yes,"IPASS, Inc.",,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-09/46R-16-R4%20Complaint%20%28NR%29.pdf,Note: The school district did build the high school at that location (https://bnh.leeschools.net/). Separate complaint about discriminatory disciplinary actions by the school district: https://southerncoalition.org/community-groups-add-civil-rights-complaint-lee-county-school-system/,,race, national origin,46r-16-r4 complaint (pdf) (2.96 mb),epa,,,,
fy16,44rno-16-r9,resolved/in monitoring,both,hawaii dept. of agriculture,2016-09-15,2019-05-30,987.0,resolved through informal resolution agreement 5/30/2019; in monitoring,resolved,resolved: informal resolution agreement,False,,Trump,"Hawaiʻi's Agribusiness Development Corporation ""facilitates the constant drift of pesticides and pesticide-laden dust into Native Hawaiian communities by leasing thousands of acres near them to heavy pesticide users, primarily genetically engineered seed companies, that spray tens of thousands of pounds of toxic pesticides each year,"" and the state Department of Agriculture is not intervening. Crossfiled to EPA and USDA.",multiple,HI,multiple,Native Hawaiian communities,,yes,Yes,Earthjustice,The Moms On a Mission (MOM) Hui; Pōʻai Wai Ola/West Kauaʻi Watershed Alliance,No,Yes,,Yes,2.0,"44rno-16-r9, 45rno-16-r9",https://www.epa.gov/system/files/documents/2022-09/44RNO-16-R9%20Complaint%20Redacted.pdf,"Press release from Earthjustice: https://earthjustice.org/press/2016/native-hawaiians-bring-civil-rights-complaint-against-state-agencies-on-pesticide-use. NOTE: An employee at the state agency filed a retaliation complaint, alleging retaliation on the job after involvement in this complaint. See that complaint here: https://www.epa.gov/system/files/documents/2022-08/02r-20-R9%20Complaint_Redacted.pdf",,race, national origin,44rno-16-r9 complaint (pdf) (820.69 kb),epa,,,,
fy16,45rno-16-r9,resolved/in monitoring,both,hawaii agribusiness dev. corp.,2016-09-15,2019-08-29,1078.0,resolved through informal resolution agreement 8/29/2019; in monitoring,resolved,resolved: informal resolution agreement,False,,Trump,"Hawaiʻi's Agribusiness Development Corporation ""facilitates the constant drift of pesticides and pesticide-laden dust into Native Hawaiian communities by leasing thousands of acres near them to heavy pesticide users, primarily genetically engineered seed companies, that spray tens of thousands of pounds of toxic pesticides each year,"" and the state Department of Agriculture is not intervening. Crossfiled to EPA and USDA.",multiple,HI,multiple,Native Hawaiian communities,,no,Yes,Earthjustice,The Moms On a Mission (MOM) Hui; Pōʻai Wai Ola/West Kauaʻi Watershed Alliance,No,Yes,,Yes,2.0,"44rno-16-r9, 45rno-16-r9",https://www.epa.gov/system/files/documents/2022-09/45RNO-16-R9%20Complaint%20Redacted.pdf,"Press release from Earthjustice: https://earthjustice.org/press/2016/native-hawaiians-bring-civil-rights-complaint-against-state-agencies-on-pesticide-use. NOTE: An employee at the state agency filed a retaliation complaint, alleging retaliation on the job after involvement in this complaint. See that complaint here: https://www.epa.gov/system/files/documents/2022-08/02r-20-R9%20Complaint_Redacted.pdf",,race, national origin,45rno-16-r9 complaint (pdf) (820.69 kb),epa,,,,
fy16,47u-16-r4,closed,both,nc dept. of public safety,2016-09-12,2017-11-09,423.0,rejected and referred (doj) 11/9/2017: lack of jurisdiction,rejected and referred,rejected and referred,True,Lack of jurisdiction,Trump,"Unsanitary conditions (feces, urine, food, etc., on the floors/walls) in prison put inmates' and staff's health at risk",Butner,NC,27509,Inmates,doj,yes,No,Redacted individual,,No,No,"Unsanitary conditions, not environmental exposure",,1.0,,https://www.epa.gov/system/files/documents/2022-09/47U-16-R4%20Complaint%20Redacted.pdf,,,,,47u-16-r4 complaint (pdf) (677.4 kb),epa,,,,
fy16,42d-16-r9,closed,both,"bay area air quality monitoring district, ca",2016-08-31,2018-08-30,729.0,rejected 8/30/2018: investigation unwarranted - issue raised in complaint resolved,rejected,rejected,True,issue raised in complaint resolved,Trump,"Mulch with propylene glycol and methylbromide that complainant's apartment complex spread on a courtyard is making them ill. ""There are hundreds of low-income tenants living here any most of those who have spoken to me are ill. A red blistering rash and intractable diarrhea, nausea, vomiting, respiratory problems and severe muscle cramps are some of the many health problems we are experiencing. I have been told by the manager that this material is not toxic. My physician told me it is. The EPA and CA EPA agents told me it is a CIass ! toxic substance.""",Novato,CA,94947,"Person with disabilities, low-income people",,yes,No,Redacted individual,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-09/42D-16-R9%20Complaint%20Redacted.pdf,,,disability,,42d-16-r9 complaint (pdf) (56.59 kb),epa,,,,
fy16,43x-16-r4,closed,both,"casa verde mobile homes, fl",2016-08-31,2016-10-11,41.0,"admin closure/referral 10/11/2016: no complainant contact information, no allegation of discrimination - referred corresp. to epa hq and region 4 drinking water staff",rejected and referred,rejected and referred: within EPA,False,"no complainant contact information, no allegation of discrimination",Obama,"Complaint seems to have been filed with the EPA generally and then referred to the Title VI office: Problems with drinking water in the mobile home park (green, smells bad, objects in it), and soil contamination",Tampa,FL,33610,Mobile home residents,,yes,No,Anonymous filer,,No,Possibly,"Environmental contamination, but no protected class named or discrimination cited",,1.0,,https://www.epa.gov/system/files/documents/2022-09/43X-16-R4%20Complaint%20Redacted.pdf,,,,,43x-16-r4 complaint (pdf) (221.45 kb),epa,,,,
fy16,40d-16-r4,closed,both,"habitat for humanity jacksonville, fl",2016-08-30,2017-11-03,430.0,"rejected 11/3/2017: lack of recipient jurisdiction, provided fdep contact re: envir. concerns",rejected,rejected,True,Lack of jurisdiction,Trump,"Referred by the state attorney general's office: Fairway Oaks, a Habitat for Humanity development for lower-income buyers, is making residents sick because of land contamination. (A story about the property says it was built on garbage from a former dump, something Habitat denies.)",Jacksonville,FL,32208,Predominantly Black community,,no,No,Redacted individual,,No,Yes,,Yes,2.0,"40d-16-r4, 41d-16-r4",https://www.epa.gov/system/files/documents/2022-09/40D-16-R4%20Complaint%20Redacted.pdf,Residents sued but ran into statute of limitations problems: https://www.jacksonville.com/story/news/environment/2020/08/28/duval-judge-lawsuit-over-fairway-oaks-construction-filed-too-late/5645353002/,https://power.buellcenter.columbia.edu/essays/mold-foundation-cracks-sinking-houses-how-florida-habitat-humanity-neighborhood-fell-apart,disability,,40d-16-r4 complaint (pdf) (399.84 kb),epa,,,,
fy16,41d-16-r4,closed,both,"city of jacksonville, fl",2016-08-30,2017-11-03,430.0,rejected 11/3/2017: not timely filed,rejected,rejected,True,untimely,Trump,"Referred by the state attorney general's office: Fairway Oaks, a Habitat for Humanity development for lower-income buyers, is making residents sick because of land contamination. (A story about the property says it was built on garbage from a former dump, something Habitat denies.)",Jacksonville,FL,32208,Predominantly Black community,,yes,No,Redacted individual,,No,Yes,,Yes,2.0,"40d-16-r4, 41d-16-r4",https://www.epa.gov/system/files/documents/2022-09/41D-16-R4%20Complaint%20Redacted.pdf,Residents sued but ran into statute of limitations problems: https://www.jacksonville.com/story/news/environment/2020/08/28/duval-judge-lawsuit-over-fairway-oaks-construction-filed-too-late/5645353002/,,disability,,41d-16-r4 complaint (pdf) (427.76 kb),epa,,,,
fy16,39r-16-r9,closed,both,ca dept. of toxic substances control,2016-08-26,2018-10-15,780.0,rejected 10/15/2018: further investigation unwarranted – issue raised in complaint resolved,rejected,rejected,True,issue raised in complaint resolved,Trump,Referred by the DOJ; complainant says a DTSC toxicologist is using racist terms in emails and has a pattern of ignoring environmental contamination and averaging exposures to understate their harm,multiple,CA,multiple,Communities of color,,yes,Yes,Anthony Patchett,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2022-09/39R-16-R9%20Complaint%20Redacted.pdf,"Unclear what EPA meant about the situation being resolved, but the toxicologist isn't currently listed in the DTSC staff directory",Story about the matter: https://capitolwatchdog.org/article/racism-really-behind-top-state-toxicologists-conclusion-poisoned-communities-are-safe,race,,39r-16-r9 complaint (pdf) (2.62 mb),epa,,,,
fy16,38r-16-r4,closed,both,alabama dept. of envir. mgmt. (arrowhead landfill - retaliation),2016-08-19,2016-10-05,47.0,accepted and admin closure 10/5/2016: incorporated into then-pending investigation of 12r-13-r4,accepted and closed,accepted and closed: incorporated into another complaint,False,,Obama,Supplementary complaint to one filed in 2013 (about a permit renewal and an expansion permit for a landfill disporportionately impacting Black residents in a nearby community); this new one alleges retaliation by the landfill owner (including filing a lawsuit against four of the original complainants) and ADEM declining to intervene.,Uniontown,AL,not disclosed,Predominantly Black community,,yes,Yes,Earthjustice,complainants in a prior complaint (not named in this document),No,Yes,,This is a supplemental to an earlier complaint,1.0,12R-13-r4,https://www.epa.gov/system/files/documents/2022-09/38r-16-R4%20Retal%20Complaint_Redacted.pdf,"EPA in 2018 said it found insufficient evidence of discrimination (including retaliation); it said the state agency could voluntarily take some steps, such as improving its nondiscrimination complaint process. Link: https://www.epa.gov/sites/default/files/2018-03/documents/2018.03.01_lefleur_l_re_letter_of_closure_of_administrative_complaint_fi.pdf","This is one of the cases CPI wrote about for the prior project: https://publicintegrity.org/environment/pollution/environmental-justice-denied/thirty-miles-from-selma-a-different-kind-of-civil-rights-struggle/
Piece about EPA dismissal of claims: https://nonprofitquarterly.org/epa-dismisses-black-belt-citizens-environmental-justice-claim/
Landfill issues are still going on: https://www.montgomeryadvertiser.com/story/news/2022/12/15/uniontown-residents-protest-adem-over-arrowhead-landfill-complaints/69729262007/",retaliation,,38r-16-r4 complaint (pdf) (65.1 mb),epa,,,,
fy16,37r-16-r4,closed,both,n.c. dept. of envir. quality – pork cafo (retaliation),2016-07-11,2016-08-02,22.0,accepted and admin closure 8/2/2016: incorporated into then-pending investigation of 11r-14-r4,accepted and closed,accepted and closed: incorporated into another complaint,False,,Obama,"Supplementary complaint to one filed in 2014 (about DEQ discriminating against Black, Latino and Native American residents in its operation of its swine waste permit program); complainants say DEQ failed to protect them from intimidation by the pork industry, including inviting pork groups to a confidential mediation between DEQ and complainants",multiple,NC,multiple,"Black, Latino and Native American residents",,yes,Yes,Earthjustice,North Carolina Environmental Justice Network; Rural Empowerment Association for Community Help; Waterkeeper Alliance,No,Yes,,This is a supplemental to an earlier complaint,2.0,"37r-16-r4, 11r-14-r4",https://www.epa.gov/system/files/documents/2022-09/37r-16-R4%20Complaint%20Redacted.pdf,"EPA in the final days of the Obama administration wrote a letter of ""deep concern"" to DEQ about its actions: https://www.epa.gov/sites/default/files/2018-05/documents/letter_of_concern_to_william_g_ross_nc_deq_re_admin_complaint_11r-14-r4_.pdf. DEQ and complainants reached a settlement agreement through EPA's alternative dispute resolution process in 2018. EPA said in this letter that it was not a party to the agreement and would not monitor it, but would respond to complaints: https://www.epa.gov/sites/default/files/2018-05/documents/2018-5-7_ncdeq_reach_closure_letter_per_adr_agreement_11r-14-r4_recipien.pdf",,retaliation,,37r-16-r4 complaint (pdf) (13.72 mb),epa,,,,
fy16,36r-16-r9,closed,both,"city and county of honolulu, hi",2016-06-30,2017-02-16,231.0,referred (eeoc) 2/16/2017: lack of jurisdiction,rejected and referred,rejected and referred,True,Lack of jurisdiction,Trump,Referred from the Department of Labor: Employment discrimination complaint on the basis of race involving the city's wastewater division,not disclosed,HI,not disclosed,Complainant,eeoc,yes,No,Redacted individual,,No,No,"Employment discrimination, not environmental discrimination",,1.0,,https://www.epa.gov/system/files/documents/2022-09/36R-16-R9%20Incoming%20Complaint%20to%20DOL_Redacted.pdf,"Referral letter from DOL: https://www.epa.gov/system/files/documents/2022-09/36R-16-R9%20DOL%20Referral%2011-4-2015_Redacted.pdf
Additional document: https://www.epa.gov/system/files/documents/2022-09/36R-16-R9%202016.07.01%20DOL%20Referred%20Correspondence%20from%20Complainant_Redacted.pdf",,race,,36r-16-r9 incoming complaint to dol (pdf) (336.74 kb) 36r-16-r9 dol referral 11-4-2015 (pdf) (128.16 kb) 36r-16-r9 2016 07 01 dol corr from complainant (pdf) (196.93 kb),epa,,,,
fy16,34rno-16-r10,closed,both,"yakima regional clean air auth., wa",2016-06-11,2020-08-19,1530.0,resolved through informal resolution agreement: 8/9/2019; monitoring completed and case closed 8/19/2020,resolved,resolved: informal resolution agreement,False,,Trump,"Agency doesn't protect low-income and minority residents in the county, doesn't provide information to non-English speakers in their own languages, resists citizen participation in policymaking",multiple,WA,multiple,People of color and low English proficiency residents,,yes,Unclear (possibly),The Friends of Toppenish Creek,,No,Yes,,Yes (though the complainants didn't seem to be complaining about the state agency that represents the second complaint),2.0,"34rno-16-r10, 35rno-16-r10",https://www.epa.gov/system/files/documents/2022-09/34RNO-16-R10%20Complaint%20Attachment_Redacted.pdf,"EPA accepted the complaint for investigation in 2019, and the agencies settled later that year: https://www.epa.gov/ogc/informal-resolution-agreement-letter-complaint-no-34r-16-r10
From the complaint: ""For many years people from Yakima County have invested their own time and money in efforts to secure clean air for the valley. The YRCAA has stonewalled and obstructed those efforts. This agency, with a mandate and mission to ensure public health and a clean environment, has pandered and continues to pander to polluters. It is cruel and unjust for the federal government to tax people and then funnel these monies to agencies that refuse to do their job.""",,race, national origin,34rno-16-r10 complaint (pdf) (510.49 kb) 34rno-16-r10 complaint attachment (pdf) (1.7 mb),epa,,,,
fy16,35rno-16-r10,closed,both,wa dept. of ecology,2016-06-11,2019-02-11,975.0,rejected 2/11/2019: lack of alleged covered discriminatory act,rejected,rejected,True,lack of alleged covered discriminatory act,Trump,"Yakima Regional Clean Air Authority doesn't protect low-income and minority residents in the county, doesn't provide information to non-English speakers in their own languages, resists citizen participation in policymaking; residents complained to the Washington Department of Ecology, which found no need to review the local agency",multiple,WA,multiple,People of color and low English proficiency residents,,no,Unclear (possibly),The Friends of Toppenish Creek,,No,Yes,,Yes (though the complainants didn't seem to be complaining about the state agency that represents the second complaint),2.0,"34rno-16-r10, 35rno-16-r10",https://www.epa.gov/system/files/documents/2022-09/35RNO-16-R10%20Complaint_Redacted.pdf,,,race, national origin,35rno-16-r10 complaint (pdf) (510.49 kb) 35rno-16-r10 complaint att 1 (pdf) (1.21 mb) 35rno-16-r10 complaint att 2 (pdf) (885.44 kb),epa,,,,
fy16,32d-16-r9,closed,both,"santa clara county, ca",2016-06-06,2017-11-03,515.0,rejected and referred (hhs) 11/3/2017: lack of jurisdiction,rejected and referred,rejected and referred,True,Lack of jurisdiction,Trump,"Complainant complained to the DOJ, which said it referred the complaint to EPA, but when complainant followed up, EPA had no record so it had to be sent independently. Complainant had asked the county for an ADA accommodation of not spraying pesticides on their ill mother's property, but the county claimed ADA only applied to employment. ",not disclosed,not disclosed,not disclosed,"Elderly, ill resident",hhs,yes,No,Redacted individual,,No,Possibly,"Involves asking for an ADA accommodation to not spray pesticide on a property, based on the disability of the owner",,1.0,,https://www.epa.gov/system/files/documents/2022-08/32D-16-R9%20Complaint%20Redacted.pdf,,,disability,,32d-16-r9 complaint (pdf) (650.62 kb),epa,,,,
