fy_rec'd,summary_status,epa_file_#,named_entity,clean_date_received,detailed_status,primary_status,primary_status_map,secondary_status,recent_status_date,referred_agency,disc_basis_1,disc_basis_2,time_difference,related_documents
fy16,closed,26r-16-r6,"city of dallas, tx",2016-04-25,rejected 9/19/2018: investigation unwarranted- insufficiently grounded in fact,rejected,rejected,investigation unwarranted- insufficiently grounded in fact,2018-09-19,,race,,877,26r-16-r6 complaint cover email (pdf) (33.75 kb) 26r-16-r6 complaint (pdf) (321.96 kb)
fy16,,25ta-16-r2,new york dept. of envir. cons.,2016-04-22,technical assistance to recipient,technical,technical assistance,,2023-06-13,,,,2608,25ta-16-r2 technical assistance initiation ltr (pdf) (570.29 kb)
fy16,closed,24r-16-r5,"u.s. epa, region 5",2016-04-18,"rejected 6/6/2016: lack of recipient status, further action referred to epa region 5",rejected,rejected,"lack of recipient status, further action referred to epa region 5",2016-06-06,,race,,49,24r-16-r5 complaint (pdf) (193.32 kb)
fy16,closed,22r-16-r4,florida dept. of envir. protection,2016-03-19,rejected 3/1/2018: investigation unwarranted- insufficiently grounded in fact,rejected,rejected,investigation unwarranted- insufficiently grounded in fact,2018-03-01,,race,,712,22r-16-r4 complaint 2016-03-19 (pdf) (521.29 kb) 22r-16-r4 complaint 2016-03-22 (pdf) (1.18 mb) 22r-16-r4 complaint 2016-03-22 attachment (pdf) (855.93 kb)
fy16,closed,21x-16-r3,not provided by complainant,2016-03-17,"rejected 6/7/2017: insufficient information to determine jurisdiction, provided contact information of prince george’s county, md re: noise ordinance",rejected,rejected,"insufficient information to determine jurisdiction, provided contact information of prince george’s county, md re: noise ordinance",2017-06-07,,,,447,21x-16-r3 complaint (pdf) (161.18 kb) 21x-16-r3 complaint refile (pdf) (210.53 kb)
fy16,closed,16u-16-r9,"sacramento air quality mgmt. district, ca",2016-03-08,"rejected 8/29/2017: lack of timeliness, lack of discriminatory act/basis",rejected,rejected,"lack of timeliness, lack of discriminatory act/basis",2023-06-13,,,,2653,16u-16-r9 complaint (pdf) (148.95 kb)
fy16,closed,17rd-16-r5,michigan dept. of envir. quality,2016-03-08,resolved through informal resolution agreement: 12/4/2019; monitoring completed and case closed 1/5/2021,resolved through informal resolution agreement:,resolved,monitoring completed and case closed,2021-01-05,,disability,,1764,17rd-16-r5 2015-01-22 complaint (pdf) (10.29 kb) 17rd-16-r5 2015-01-24 complaint (pdf) (11.7 kb) 17rd-16-r5 2015-01-30 complaint (pdf) (11.58 kb) 17rd-16-r5 2015-02-25 complaint (pdf) (98.57 kb) 17rd-16-r5 2015-02-25 complaint attach - city notification (pdf) (315.87 kb) 17rd-16-r5 2015-02-25 complaint attach - deq nov (pdf) (154.94 kb)
fy16,resolved/in monitoring,18rd-16-r5,"genesee county, mi",2016-03-08,resolved through informal resolution agreement: 12/19/2019; in monitoring,resolved through informal resolution agreement:,resolved,in monitoring,2019-12-19,,disability,,1381,18rd-16-r5 2015-01-22 complaint (pdf) (10.29 kb) 18rd-16-r5 2015-01-24 complaint (pdf) (11.7 kb) 18rd-16-r5 2015-01-30 complaint (pdf) (11.58 kb) 18rd-16-r5 2015-02-25 complaint (pdf) (98.57 kb) 18rd-16-r5 2015-02-25 complaint attach - city notification (pdf) (315.87 kb) 18rd-16-r5 2015-02-25 complaint attach - deq nov (pdf) (154.94 kb)
fy16,resolved/in monitoring,19rd-16-r5,"city of flint, mi",2016-03-08,resolved through informal resolution agreement: 3/4/2020; in monitoring,resolved through informal resolution agreement:,resolved,in monitoring,2020-03-04,,disability,,1457,19rd-16-r5 2015-01-22 complaint (pdf) (10.29 kb) 19rd-16-r5 2015-01-24 complaint (pdf) (11.7 kb) 19rd-16-r5 2015-01-30 complaint (pdf) (11.58 kb) 19rd-16-r5 2015-02-25 complaint (pdf) (98.57 kb) 19rd-16-r5 2015-02-25 complaint attach - city notification (pdf) (315.87 kb) 19rd-16-r5 2015-02-25 complaint attach - deq nov (pdf) (154.94 kb)
fy16,closed,15r-16-r4,"dekalb county, ga",2016-03-04,rejected 9/1/2017: lack of discriminatory act,rejected,rejected,lack of discriminatory act,2017-09-01,,race,,546,15r-16-r4 complaint (pdf) (524.81 kb) 15r-16-r4 doj complaint and epa referral (pdf) (2.29 mb)
fy16,closed,49x-16-r5,indiana dept. of trans.,2016-02-25,rejected and referred (fhwa) 5/19/2017: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2017-05-19,fhwa,,,449,49x-16-r5 complaint (pdf) (63.79 kb)
fy16,closed,20x-16-r4,not provided by complainant,2016-02-24,"rejected 8/31/2016: lack of jurisdiction, referral unwarranted",rejected,rejected,"lack of jurisdiction, referral unwarranted",2016-08-31,,,,189,20x-16-r4 complaint (pdf) (575.61 kb) 20x-16-r4 complainant response to epa (pdf) (2.27 mb)
fy16,closed,11u-16-r4,duke power,2016-02-04,"rejected/referred 11/2/2017: lack of recipient status, envir. conditions referred to epa r4 drinking water staff",rejected/referred,rejected and referred,"lack of recipient status, envir. conditions referred to epa r4 drinking water staff",2017-11-02,,,,637,11u-16-r4 complaint (pdf) (104.38 kb) 11u-16-r4 complaint supp 1 (pdf) (61.64 kb) 11u-16-r4 complaint supp 2 (pdf) (63.21 kb)
fy16,closed,13r-16-r4,alabama dept. of envir. mgmt. (dothan landfill),2016-02-03,resolved and closed 3/1/2018: admin closure re: issue 1 (mootness) 11/3/2016; issue 2 – insufficient evidence of noncompliance,resolved and closed,resolved,admin closure re: issue  issue 2 – insufficient evidence of noncompliance,2016-11-03,,race,,274,13r-16-r4 complaint (pdf) (1.71 mb)
fy16,closed,10x-16-r5,unknown,2016-01-14,rejected 7/19/2016: insufficient information to determine jurisdiction,rejected,rejected,insufficient information to determine jurisdiction,2016-07-19,,,,187,10x-16-r5 complaint (pdf) (16.41 kb)
fy16,closed,09u-16-r6,tx dept. of criminal justice,2016-01-11,"referred 7/6/2016 (doj, doi, usda): lack of jurisdiction",referred,rejected and referred,lack of jurisdiction,2016-07-06,,,,177,09u-16-r6 complaint (pdf) (410.7 kb)
fy16,closed,08r-16-r6,"baton rouge, la",2015-12-22,rejected 6/18/2018: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2018-06-18,,race,,909,08r-16-r6 complaint (pdf) (107 kb)
fy16,closed,07x-16-r10,shorewood heights apt. (wa),2015-12-09,"rejected 4/20/2016: lack of jurisdiction, lack of discriminatory act",rejected,rejected,"lack of jurisdiction, lack of discriminatory act",2016-04-20,,,,133,07x-16-r10 complaint (pdf) (2.03 mb) 07x-16-r10 complaint addendum 1 (pdf) (1.01 mb) 07x-16-r10 complaint addendum 2 (pdf) (488.47 kb)
fy16,closed,05r-16-r4,athens-clark county (ga) - landfill,2015-11-30,"rejected 3/1/2018: insufficient information to determine jurisdiction, lack of response from complainant to requests for clarification",rejected,rejected,"insufficient information to determine jurisdiction, lack of response from complainant to requests for clarification",2018-03-01,,race,,822,05r-16-r4 complaint (pdf) (63.75 kb)
fy16,closed,06d-16-r4,athens-clark county (ga) – water quality,2015-11-30,"rejected 12/1/2017: insufficient information to determine jurisdiction, lack of response from complainant to requests for clarification, complainant referred to region 4 to continue existing actions re: envir. issues",rejected,rejected,"insufficient information to determine jurisdiction, lack of response from complainant to requests for clarification, complainant referred to region 4 to continue existing actions re: envir. issues",2017-12-01,,disability,,732,06d-16-r4 complaint 1 (pdf) (287.39 kb) 06d-16-r4 complaint 2 (pdf) (156.61 kb)
fy16,closed,14x-16-r4,not provided by complainant,2015-11-10,"admin closure 6/30/2016: ocr unable to open original dvd correspondence, lack of response from complainant to follow-up notice from ocr",admin closure,,"ocr unable to open original dvd correspondence, lack of response from complainant to follow-up notice from ocr",2016-06-30,,,,233,14x-16-r4 acknowledgment (in lieu of complaint) (pdf) (254.03 kb)
fy16,closed,04r-16-r4,"athens, ga - fluoride",2015-10-30,rejected 9/29/2017: investigation unwarranted- insufficiently grounded in fact,rejected,rejected,investigation unwarranted- insufficiently grounded in fact,2017-09-29,,race,,700,04r-16-r4 complaint 1 (pdf) (138.6 kb) 04r-16-r4 complaint 2 (pdf) (69.04 kb)
fy16,closed,03d-16-r2,"city of rochester, ny",2015-10-15,resolved through early complaint resolution agreement: 7/19/2018; case closed 10/9/2018,resolved through early complaint resolution agreement:,resolved,case closed,2018-10-09,,disability,,1090,03d-16-r2 complaint (pdf) (98.63 kb)
fy16,closed,01x-16-r5,"village of barrington, il",2015-10-05,admin closure 2/16/2017: lack of response from complainant to requests for clarification,admin closure,,lack of response from complainant to requests for clarification,2017-02-16,,,,500,01x-16-r5 complaint (pdf) (529.53 kb)
fy16,closed,02no-16-r4,georgia dept. of agriculture,2015-10-01,resolved through informal resolution agreement: 2/8/2017; monitoring completed and case closed 1/7/2020,resolved through informal resolution agreement:,resolved,monitoring completed and case closed,2020-01-07,,national origin,,1559,02no-16-r4 complaint (pdf) (7.13 mb)
fy16,closed,23rno-16-r3,maryland dept. of envir.,2015-08-24,rejected 12/20/2016: untimely filed,rejected,rejected,untimely filed,2016-12-20,,race, national origin,484,23rno-16-r3 complaint (pdf) (39.04 kb)
fy16,closed,12x-16-r5,"factory farms, brodhead, wi",2015-02-07,admin closure 7/18/2016: complaint withdrawn,admin closure,,complaint withdrawn,2016-07-18,,,,527,12x-16-r5 complaint (pdf) (15.45 kb)
fy15,closed,26nod-15-r10,city of mukilteo (wa),2015-09-09,"rejected 5/15/2018: investigation unwarranted – claim 1 speculative, claim 2 – lack of discriminatory act, claim 3 – lack of discriminatory act",rejected,rejected,investigation unwarranted – claim  – lack of discriminatory act,2018-05-15,,disability,,979,26nod-15-r10 complaint (pdf) (1.99 mb) 26nod-15-r10 complaint addendum (pdf) (6.62 mb) 26nod-15-r10 rec rejection ltr (pdf) (1.92 mb)
fy15,closed,25r-15-r6,stella-jones inc. colfax treating co. (la),2015-08-23,rejected 9/29/2017: lack of jurisdiction – referred epa region 6 (existing contact),rejected,rejected,lack of jurisdiction – referred epa region 6 (existing contact),2017-09-29,,race,,768,25r-15-r6 complaint (pdf) (104.65 kb)
fy15,closed,24u-15-r4,pipe masters (nc),2015-08-22,"rejected 3/17/2016: lack of jurisdiction, lack of discrim. act",rejected,rejected,"lack of jurisdiction, lack of discrim. act",2016-03-17,,,,208,24u-15-r4 complaint (pdf) (57.65 kb)
fy15,closed,23u-15-r9,"double tree hotel (sacramento, ca)",2015-08-12,"rejected 2/2/2016: lack of jurisdiction, lack of discrim act – suggested contact calif. dph, indoor air quality section",rejected,rejected,"lack of jurisdiction, lack of discrim act – suggested contact calif. dph, indoor air quality section",2016-02-02,,,,174,23u-15-r9 complaint (pdf) (12.68 kb)
fy15,closed,22x-15-r6,"village villas (hot springs, ar)",2015-08-06,"rejected 1/20/2016: lack of jurisdiction, lack of discrim act – suggested contact hot springs nuisance abatement office",rejected,rejected,"lack of jurisdiction, lack of discrim act – suggested contact hot springs nuisance abatement office",2016-01-20,,,,167,22x-15-r6 complaint (pdf) (394.24 kb)
fy15,closed,18r-15-r5,illinois epa – agrifine,2015-07-23,admin closure (withdrawn): 1/27/2016,admin closure,,,2016-01-27,withdrawn,race,,188,18r-15-r5 complaint (pdf) (13.88 mb)
fy15,closed,21u-15-r4,alabama dept. of corrections,2015-07-21,rejected and referred (doj) 8/27/2015: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2015-08-27,doj,,,37,21u-15-r4 complaint (pdf) (1.2 mb)
fy15,closed,20u-15-r6,"broken arrow, ok area",2015-07-10,"rejected 8/10/2015: no recipient named, no discriminatory act",rejected,rejected,"no recipient named, no discriminatory act",2015-08-10,,,,31,20u-15-r6 complaint (pdf) (281.8 kb)
fy15,closed,15u-15-r4,nc dept. of public safety - eastern corr. inst,2015-06-30,"rejected and referred (doj, nc dhhs, dol/osha) 8/21/2015: lack of jurisdiction",rejected and referred,rejected and referred,lack of jurisdiction,2015-08-21,"doj, nc dhhs, dol/osha",,,52,15u-15-r4 complaint (pdf) (1.56 mb)
fy15,closed,16d-15-r3,philadelphia county (pa) assistance office,2015-06-29,rejected and referred (hhs) 7/22/2015: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2015-07-22,hhs,disability,,23,16d-15-r3 complaint (pdf) (1.61 mb)
fy15,closed,13u-15-r4,nc dept. of public safety - pamlico corr. inst,2015-06-24,rejected and referred (doj) 8/20/2015: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2015-08-20,doj,,,57,13u-15-r4 complaint (pdf) (579.5 kb) 13u-15-r4 complaint supplement (pdf) (924.2 kb)
fy15,closed,14u-15-r3,kinzer drilling; energy corp; wv dept. of envir. prot. - abandoned mines office,2015-06-24,"rejected 3/17/2017: lack of jurisdiction (kinzer, energy corp); lack of discrim. act (wvdep) – suggested contact doi/osmre, wv enviro council, wv rivers coalition",rejected,rejected,"lack of jurisdiction (kinzer, energy corp); lack of discrim. act (wvdep) – suggested contact doi/osmre, wv enviro council, wv rivers coalition",2023-06-13,,,,2911,14u-15-r3 complaint (pdf) (1.46 mb) 14u-15-r3 complaint supp 1 (pdf) (6.37 mb) 14u-15-r3 complaint supp 2 (pdf) (763.76 kb)
fy15,closed,12u-15-r5,auto body shop (in),2015-06-09,"rejected 4/14/2016: lack of discriminatory act, suggested contact u.s. dol/osha",rejected,rejected,"lack of discriminatory act, suggested contact u.s. dol/osha",2023-06-13,,,,2926,12u-15-r5 complaint (pdf) (423.75 kb) 12u-15-r5 complaint supplement (pdf) (727.57 kb)
fy15,closed,11d-15-r3,winn apts. (dc),2015-06-08,"rejected and referred (dc dept. of health, dc dept. of consumer and reg affairs) 8/20/2015: lack of jurisdiction",rejected and referred,rejected and referred,lack of jurisdiction,2015-08-20,"dc dept. of health, dc dept. of consumer and reg affairs",disability,,73,11d-15-r3 complaint (pdf) (792.45 kb)
fy15,closed,17x-15-r5,"rainforest inquiry (jefferson es 4th graders, rochester, minn.)",2015-05-27,referred to epa office of envir. education on 8/20/2015 for response – not a complaint,referred,rejected and referred,,2015-08-20,epa office of envir. education on ,,,85,17x-15-r5 rainforest inquiry 1 (pdf) (508.62 kb) 17x-15-r5 rainforest inquiry 2 (pdf) (354.5 kb)
fy15,closed,19r-15-r2,nj dept. of envir. prot. – trenton hs,2015-05-26,rejected 9/14/2018: investigation unwarranted – actions already taken,rejected,rejected,investigation unwarranted – actions already taken,2018-09-14,,race,,1207,19r-15-r2 complaints (pdf) (308.88 kb) 19r-15-r2 web complaints (pdf) (99.3 kb)
fy15,closed,10u-15-r8,north dakota dept. of agriculture,2015-04-13,rejected and referred (usda) 7/8/2015: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2015-07-08,usda,,,86,10u-15-r8 complaint (pdf) (1.35 mb) 10u-15-r8 complaint attachments (pdf) (1.47 mb) 10u-15-r8 complaint supplement (pdf) (2.42 mb)
fy15,closed,09r-15-r9,calif. epa/dept. of toxic substances control,2015-03-19,resolved and closed through adr settlement: 9/13/2016,resolved and closed through adr settlement,resolved,,2016-09-13,,race,,544,09r-15-r9 complaint (pdf) (2.16 mb)
fy15,resolved/in monitoring,08r-15-r4,jefferson co. (al) dept. of health – walter coke,2015-03-02,resolved through informal resolution agreement: 7/2/2019; in monitoring,resolved through informal resolution agreement:,resolved,in monitoring,2019-07-02,,race,,1583,08r-15-r4 complaint (pdf) (11.66 mb)
fy15,closed,07r-15-r6,baton rouge (la),2015-02-25,rejected 8/31/2016: lack of discriminatory act,rejected,rejected,lack of discriminatory act,2016-08-31,,race,,553,07r-15-r6 complaint (pdf) (234.65 kb)
fy15,closed,06r-15-r6,ameripure oyster plant; city of franklin (la),2015-02-24,"rejected 5/5/2015 & 2/11/2016: lack of jurisdiction, untimely filed",rejected,rejected,"lack of jurisdiction, untimely filed",2016-02-11,,race,,352,06r-15-r6 complaint (pdf) (2.22 mb)
fy15,closed,05d-15-r6,laredo (tx); webb co. (tx) utilities dept.; tceq,2015-02-18,"rejected 1/21/2016: lack of jurisdiction (city and county), lack of discriminatory act",rejected,rejected,"lack of jurisdiction (city and county), lack of discriminatory act",2016-01-21,,disability,,337,05d-15-r6 complaint (pdf) (2.25 mb)
fy15,closed,04r-15-r4,ala. dept. of corrections – limestone corr. fac.,2015-02-09,rejected and referred (doj) 4/3/2015: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2015-04-03,doj,,,53,04r-15-r4 complaint (pdf) (557.44 kb)
fy15,resolved/in monitoring,03r-15-r4,jefferson co. (al) dept. of health – abc coke,2015-02-06,resolved through informal resolution agreement: 7/2/2019; in monitoring,resolved through informal resolution agreement:,resolved,in monitoring,2019-07-02,,race,,1607,03r-15-r4 complaint (pdf) (12.25 mb)
fy15,closed,02r-15-r3,balt. county (md) dept. of public works,2015-01-23,rejected 3/31/2015: lack of current jurisdiction,rejected,rejected,lack of current jurisdiction,2015-03-31,,race,,67,02r-15-r3 complaint (pdf) (659.74 kb)
fy15,closed,01r-15-r4,alabama dept. of corrections,2015-01-05,rejected and referred (doj) 3/27/2015: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2015-03-27,doj,,,81,01r-15-r4 complaint (pdf) (3.84 mb)
fy14,closed,21r-14-r9,"guam office, u.s. epa; u.s. epa region 9",2014-12-08,"rejected 5/13/2015: lack of recipient (epa is not “recipient” under the civil rights laws), no timeframe identified for discriminatory act",rejected,rejected,"lack of recipient (epa is not “recipient” under the civil rights laws), no timeframe identified for discriminatory act",2015-05-13,,race,,156,21r-14-r9 complaint (pdf) (554.32 kb)
fy14,closed,20r-14-r4,city of chattanooga-hamilton co air pollution control bureau (tn),2014-11-06,"rejected 2/11/2016: discriminatory act unclear, untimely filed",rejected,rejected,"discriminatory act unclear, untimely filed",2016-02-11,,race,,462,20r-14-r4 complaint (pdf) (13.55 mb)
fy14,closed,19no-14-r1,mass. dept. of envir. prot.,2014-10-29,"admin closure 7/29/2016: lack of discriminatory act, lack of complainant to clarify",admin closure,,"lack of discriminatory act, lack of complainant to clarify",2016-07-29,,national origin,,639,19no-14-r1 complaint (pdf) (118.03 kb)
fy14,closed,18r-14-r4,city of flovilla (ga),2014-10-23,rejected 8/28/2015: lack of discriminatory act,rejected,rejected,lack of discriminatory act,2015-08-28,,retaliation,,309,18r-14-r4 complaint (pdf) (1.24 mb)
fy14,closed,17r-14-r4,city of atlanta (ga) watershed mgmt.,2014-10-22,"admin closure 11/13/2014: complaint already w/osha, osha had sent as courtesy re: sdwa violation reporting",admin closure,,"complaint already w/osha, osha had sent as courtesy re: sdwa violation reporting",2023-06-13,,retaliation,,3156,17r-14-r4 complaint (pdf) (1.09 mb)
fy14,closed,15u-14-r4,nc dept. of public safety,2014-10-14,rejected and referred (nc deq) 2/12/2016: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2016-02-12,nc deq,,,486,15r-14-r4 complaint (pdf) (116.95 kb)
fy14,closed,16no-14-r5,oneida reservation,2014-10-14,rejected and referred (oneida nation environmental office) 4/20/2015: lack of discriminatory act,rejected and referred,rejected and referred,lack of discriminatory act,2015-04-20,oneida nation environmental office,national origin,,188,16no-14-r5 complaint (pdf) (165.13 kb)
fy14,closed,14r-14-r4,nc dept. of transp.,2014-09-18,rejected and referred (usdot) 4/3/2017: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2017-04-03,usdot,race,,928,14r-14-r4 complaint (pdf) (1.68 mb)
fy14,active,13r-14-r6,albuquerque-bernalillo county air quality control board (nm); city of albuquerque air quality division,2014-09-16,pending: in informal resolution negotiation,pending,pending,in informal resolution negotiation,2023-06-13,,race,,3192,13r-14-r6 complaint (pdf) (2.91 mb) 13r-14-r6 rec acceptance (pdf) (314.62 kb) 13r-14-r6 2019 04 17 abcaqb adr ltr (pdf) (309.99 kb) 13r-14-r6 2019 04 17 ehd adr ltr (pdf) (315.2 kb) 13r-14-r6 2020 10 16 rec closure of adr mediation (pdf) (166.66 kb) 13r-14-r6 2020 11 18 ehd ira initiation ltr (pdf) (149.53 kb)
fy14,closed,11r-14-r4,nc dept. of envir. quality,2014-09-03,resolved and closed through adr settlement: 5/7/2018,resolved and closed through adr settlement,resolved,,2018-05-07,,race,,1342,114-14-r4 complaint redacted (pdf) (12.66 mb)
fy14,closed,12nod-14-r6,lyondell chemical corp (tx),2014-08-25,"rejected 2/11/2016: untimely filed, lack of discriminatory act, lack of jurisdiction",rejected,rejected,"untimely filed, lack of discriminatory act, lack of jurisdiction",2016-02-11,,disability,,535,12nod-14-r6 complaint (pdf) (1.41 mb) 12nod-14-r6 rec rejection (pdf) (315.54 kb)
fy14,resolved/in monitoring,10no-14-r10,lane regional air protection agency (or),2014-08-05,resolved through informal resolution agreement: 9/23/2019; in monitoring,resolved through informal resolution agreement:,resolved,in monitoring,2019-09-23,,national origin,,1875,10no-14-r10 complaint (pdf) (5.22 mb) 10no-14-r10 partial accept ltr (pdf) (1012.62 kb) 10no-14-r10 rec resolution ltr and ira (pdf) (1.26 mb) 10no-14-r10 resolucion espanol (pdf) (274.46 kb)
fy14,closed,09r-14-r4,nc dept. of public safety – green corr. inst.,2014-07-07,rejected and referred (doj) 5/5/2015: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2015-05-05,doj,race,,302,09r-14-r4 complaint (pdf) (1.79 mb) 09r-14-r4 cp reject-referral (pdf) (804.13 kb) 09r-14-r4 doj referral (pdf) (571.75 kb)
fy14,closed,07a-14-r9,north coast regional water quality control board (ca),2014-06-19,rejected 6/10/2015: unripe for investigation,rejected,rejected,unripe for investigation,2015-06-10,,race,,356,07a-14-r9 complaint (pdf) (474.82 kb) 07a-14-r9 rec rejection (pdf) (801.01 kb)
fy14,closed,08r-14-r9,county of los angeles (ca); city of los angeles; los angeles regional water quality control board; los angeles unified school district; shell oil,2014-06-07,rejected 4/13/2015: untimely filed,rejected,rejected,untimely filed,2015-04-13,,race,,310,08r-14-r9 complaint (pdf) (1.53 mb) 08r-14-r9 city of la rejection (pdf) (314.85 kb) 08r-14-r9 county of la dhs rejection (pdf) (316.69 kb) 08r-14-r9 la rwqcb rejection (pdf) (320.72 kb) 08r-14-r9 la usd rejection (pdf) (318.06 kb) 08r-14-r9 shell rejection (pdf) (310.97 kb)
fy14,closed,06r-14-r9,calif. dept. of corrections and rehab,2014-06-06,rejected and referred (doj) 10/1/2014: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2014-10-01,doj,race,,117,06r-14-r9 complaint (pdf) (5.55 mb) 06r-14-r9 recip reject-refer (pdf) (1.01 mb) 06r-14-r9 doj referral (pdf) (1000.44 kb)
fy14,closed,05r-14-r9,city of oakland (ca); port of oakland (ca); u.s. cbp; north american 3pl,2014-05-09,rejected and referred (dot) 10/10/2014: lack of subject-matter jurisdiction,rejected and referred,rejected and referred,lack of subject-matter jurisdiction,2014-10-10,dot,race,,154,05r-14-r9 complaint (pdf) (110.22 kb) 05r-14-r9 complt referral (pdf) (438.86 kb) 05r-14-r9 dot referral (pdf) (380.21 kb)
fy14,closed,04d-14-r10,idaho dept. of envir. quality; clearwater county (id); city of orofino (id); orofino/whiskey creek water and sewer dist.,2014-03-24,"rejected 4/2/2015: untimely filed and lack of jurisdiction (1); lack of discriminatory act and lack of jurisdiction (2); lack of discriminatory act, uncertain timeliness and lack of jurisdiction (3); lack of discriminatory act and uncertain timeliness (4)",rejected,rejected,untimely filed and lack of jurisdiction ( lack of discriminatory act and uncertain timeliness (4),2015-04-02,,disability,,374,04r-14-r10 complaint (pdf) (1.54 mb) 04d-14-r10 county rejection (pdf) (901.41 kb) 04d-14-r10 ideq rejection (pdf) (903.4 kb)
fy14,closed,03a-14-r6,waller county (tx); texas comm. on envir. quality,2014-03-12,rejected without prejudice 10/29/2014: pending litigation,rejected,rejected,pending litigation,2014-10-29,,race,,231,03a-14-r6 complaint (pdf) (662.89 kb) 03a-14-r6 rec rejection (pdf) (905.87 kb)
fy14,closed,01r-14-r2,port authority of ny & nj,2014-01-27,rejected 2/2/2015: untimely filed,rejected,rejected,untimely filed,2015-02-02,,race,,371,01r-14-r2 complaint (pdf) (14.37 mb) 01r-14-r2 rec rejection (pdf) (502.39 kb)
fy14,closed,02r-14-r2,florida atlantic univ.,2014-01-12,"rejected 4/24/2014: lack of jurisdiction, lack of discriminatory act",rejected,rejected,"lack of jurisdiction, lack of discriminatory act",2014-04-24,,race,,102,02r-14-r4 complaint (pdf) (186.93 kb) 02r-14-r4 rejection ltr (pdf) (754.66 kb)
