FY Rec'd,Summary Status,EPA File #,Named Entity,Date Received,Alleged Discrimination Basis,Detailed Status,Related Documents
FY16,Closed,13R-16-R4,Alabama Dept. of Envir. Mgmt. (Dothan Landfill),02/03/2016,Title VI: Race,Resolved and Closed 3/1/2018: Admin Closure re: Issue 1 (mootness) 11/3/2016; Issue 2 – insufficient evidence of noncompliance,13R-16-R4 Complaint (pdf) (1.71 MB)
FY16,Closed,10X-16-R5,Unknown,01/14/2016,"Unknown (envir.
conditions)",Rejected 7/19/2016: Insufficient information to determine jurisdiction,10X-16-R5 Complaint (pdf) (16.41 KB)
FY16,Closed,09U-16-R6,TX Dept. of Criminal Justice,01/11/2016,"Unknown (envir.
conditions)","Referred 7/6/2016 (DOJ, DOI, USDA): Lack of Jurisdiction",09U-16-R6 Complaint (pdf) (410.7 KB)
FY16,Closed,08R-16-R6,"Baton Rouge, LA",12/22/2015,Title VI: Race,Rejected 6/18/2018: Lack of jurisdiction,08R-16-R6 Complaint (pdf) (107 KB)
FY16,Closed,07X-16-R10,Shorewood Heights Apt. (WA),12/09/2015,"Unknown (envir.
conditions)","Rejected 4/20/2016: Lack of jurisdiction, lack of discriminatory act","07X-16-R10 Complaint (pdf) (2.03 MB)
07X-16-R10 Complaint Addendum 1 (pdf) (1.01 MB)
07X-16-R10 Complaint Addendum 2 (pdf) (488.47 KB)"
FY16,Closed,05R-16-R4,Athens-Clark County (GA) - Landfill,11/30/2015,Title VI: Race,"Rejected 3/1/2018: Insufficient information to determine jurisdiction, lack of response from Complainant to requests for clarification",05R-16-R4 Complaint (pdf) (63.75 KB)
FY16,Closed,06D-16-R4,Athens-Clark County (GA) – Water Quality,11/30/2015,"Section 504:
Disability","Rejected 12/1/2017: Insufficient information to determine jurisdiction, lack of response from Complainant to requests for clarification, Complainant referred to Region 4 to continue existing actions re: envir. issues","06D-16-R4 Complaint 1 (pdf) (287.39 KB)
06D-16-R4 Complaint 2 (pdf) (156.61 KB)"
FY16,Closed,14X-16-R4,Not Provided by Complainant,11/10/2015,Unknown,"Admin Closure 6/30/2016: OCR unable to open original DVD correspondence, lack of response from Complainant to follow-up notice from OCR",14X-16-R4 Acknowledgment (in lieu of Complaint) (pdf) (254.03 KB)
FY16,Closed,04R-16-R4,"Athens, GA - Fluoride",10/30/2015,Title VI: Race,Rejected 9/29/2017: Investigation Unwarranted- insufficiently grounded in fact,"04R-16-R4 Complaint 1 (pdf) (138.6 KB)
04R-16-R4 Complaint 2 (pdf) (69.04 KB)"
FY16,Closed,03D-16-R2,"City of Rochester, NY",10/15/2015,"Section 504:
Disability",Resolved Through Early Complaint Resolution Agreement: 7/19/2018; Case Closed 10/9/2018,03D-16-R2 Complaint (pdf) (98.63 KB)
FY16,Closed,01X-16-R5,"Village of Barrington, IL",10/05/2015,"Unknown (envir.
conditions)",Admin Closure 2/16/2017: Lack of response from Complainant to requests for clarification,01X-16-R5 Complaint (pdf) (529.53 KB)
FY16,Closed,02NO-16-R4,Georgia Dept. of Agriculture,10/01/2015,Title VI: National Origin,Resolved Through Informal Resolution Agreement: 2/8/2017; Monitoring Completed and Case Closed 1/7/2020,02NO-16-R4 Complaint (pdf) (7.13 MB)
FY16,Closed,23RNO-16-R3,Maryland Dept. of Envir.,08/24/2015,"Title VI: Race, National Origin",Rejected 12/20/2016: Untimely filed,23RNO-16-R3 Complaint (pdf) (39.04 KB)
FY16,Closed,12X-16-R5,"Factory Farms, Brodhead, WI",02/07/2015,"Unknown (envir.
conditions)",Admin Closure 7/18/2016: Complaint Withdrawn,12X-16-R5 Complaint (pdf) (15.45 KB)
FY15,Closed,26NOD-15-R10,City of Mukilteo (WA),09/09/2015,"Title VI: National Origin
Section 504: Disability","Rejected 5/15/2018: Investigation Unwarranted – claim 1 speculative, claim 2 – lack of discriminatory act, claim 3 – lack of discriminatory act","26NOD-15-R10 Complaint (pdf) (1.99 MB)
26NOD-15-R10 Complaint Addendum (pdf) (6.62 MB) 26NOD-15-R10 REC Rejection Ltr (pdf) (1.92 MB)"
FY15,Closed,25R-15-R6,Stella-Jones Inc. Colfax Treating Co. (LA),08/23/2015,Title VI: Race,Rejected 9/29/2017: Lack of Jurisdiction – referred EPA Region 6 (existing contact),25R-15-R6 Complaint (pdf) (104.65 KB)
FY15,Closed,24U-15-R4,Pipe Masters (NC),08/22/2015,Unknown (envir. conditions),"Rejected 3/17/2016: Lack of Jurisdiction, Lack of Discrim. Act",24U-15-R4 Complaint (pdf) (57.65 KB)
FY15,Closed,23U-15-R9,"Double Tree Hotel (Sacramento, CA)",08/12/2015,Unknown (envir. conditions),"Rejected 2/2/2016: Lack of Jurisdiction, Lack of Discrim Act – suggested contact Calif. DPH, Indoor Air Quality Section",23U-15-R9 Complaint (pdf) (12.68 KB)
FY15,Closed,22X-15-R6,"Village Villas (Hot Springs, AR)",08/06/2015,Unknown (envir. conditions),"Rejected 1/20/2016: Lack of Jurisdiction, Lack of Discrim Act – suggested contact Hot Springs Nuisance Abatement Office",22X-15-R6 Complaint (pdf) (394.24 KB)
FY15,Closed,18R-15-R5,Illinois EPA – Agrifine,07/23/2015,Title VI: Race,Admin Closure (Withdrawn): 1/27/2016,18R-15-R5 Complaint (pdf) (13.88 MB)
FY15,Closed,21U-15-R4,Alabama Dept. of Corrections,07/21/2015,Unknown (envir. conditions),Rejected and Referred (DOJ) 8/27/2015: Lack of Jurisdiction,21U-15-R4 Complaint (pdf) (1.2 MB)
FY15,Closed,20U-15-R6,"Broken Arrow, OK Area",07/10/2015,Unknown (envir. conditions),"Rejected 8/10/2015: No recipient named, no discriminatory act",20U-15-R6 Complaint (pdf) (281.8 KB)
FY15,Closed,15U-15-R4,NC Dept. of Public Safety - Eastern Corr. Inst,06/30/2015,Unknown (envir. conditions),"Rejected and Referred (DOJ, NC DHHS, DOL/OSHA) 8/21/2015: Lack of Jurisdiction",15U-15-R4 Complaint (pdf) (1.56 MB)
FY15,Closed,16D-15-R3,Philadelphia County (PA) Assistance Office,06/29/2015,Section 504: Disability,Rejected and Referred (HHS) 7/22/2015: Lack of Jurisdiction,16D-15-R3 Complaint (pdf) (1.61 MB)
FY15,Closed,13U-15-R4,NC Dept. of Public Safety - Pamlico Corr. Inst,06/24/2015,Unknown (envir. conditions),Rejected and Referred (DOJ) 8/20/2015: Lack of Jurisdiction,"13U-15-R4 Complaint (pdf) (579.5 KB)
13U-15-R4 Complaint Supplement (pdf) (924.2 KB)"
FY15,Closed,14U-15-R3,Kinzer Drilling; Energy Corp; WV Dept. of Envir. Prot. - Abandoned Mines Office,06/24/2015,Unknown (envir. conditions),"Rejected 3/17/2017: Lack of Jurisdiction (Kinzer, Energy Corp); Lack of Discrim. Act (WVDEP) – suggested contact DOI/OSMRE, WV Enviro Council, WV Rivers Coalition","14U-15-R3 Complaint (pdf) (1.46 MB)
14U-15-R3 Complaint Supp 1 (pdf) (6.37 MB)
14U-15-R3 Complaint Supp 2 (pdf) (763.76 KB)"
FY15,Closed,12U-15-R5,Auto Body Shop (IN),06/09/2015,Unknown (envir. conditions),"Rejected 4/14/2016: Lack of discriminatory act, suggested contact U.S. DOL/OSHA","12U-15-R5 Complaint (pdf) (423.75 KB)
12U-15-R5 Complaint Supplement (pdf) (727.57 KB)"
FY15,Closed,11D-15-R3,Winn Apts. (DC),06/08/2015,Section 504: Disability,"Rejected and Referred (DC Dept. of Health, DC Dept. of Consumer and Reg Affairs) 8/20/2015: Lack of Jurisdiction",11D-15-R3 Complaint (pdf) (792.45 KB)
FY15,Closed,17X-15-R5,"Rainforest Inquiry (Jefferson ES 4th Graders, Rochester, Minn.)",05/27/2015,Unknown (envir. conditions),Referred to EPA Office of Envir. Education on 8/20/2015 for response – Not a Complaint,"17X-15-R5 Rainforest Inquiry 1 (pdf) (508.62 KB)
17X-15-R5 Rainforest Inquiry 2 (pdf) (354.5 KB)"
FY15,Closed,19R-15-R2,NJ Dept. of Envir. Prot. – Trenton HS,05/26/2015,Title VI: Race,Rejected 9/14/2018: Investigation Unwarranted – actions already taken,"19R-15-R2 Complaints (pdf) (308.88 KB)
19R-15-R2 Web Complaints (pdf) (99.3 KB)"
FY15,Closed,10U-15-R8,North Dakota Dept. of Agriculture,04/13/2015,Unknown (mediation service),Rejected and Referred (USDA) 7/8/2015: Lack of Jurisdiction,"10U-15-R8 Complaint (pdf) (1.35 MB)
10U-15-R8 Complaint Attachments (pdf) (1.47 MB)
10U-15-R8 Complaint Supplement (pdf) (2.42 MB)"
FY15,Closed,09R-15-R9,Calif. EPA/Dept. of Toxic Substances Control,03/19/2015,Title VI: Race,Resolved and Closed Through ADR Settlement: 9/13/2016,09R-15-R9 Complaint (pdf) (2.16 MB)
FY15,Resolved/In Monitoring,08R-15-R4,Jefferson Co. (AL) Dept. of Health – Walter Coke,03/02/2015,Title VI: Race,Resolved Through Informal Resolution Agreement: 7/2/2019; In Monitoring,08R-15-R4 Complaint (pdf) (11.66 MB)
FY15,Closed,07R-15-R6,Baton Rouge (LA),02/25/2015,Title VI: Race,Rejected 8/31/2016: Lack of Discriminatory Act,07R-15-R6 Complaint (pdf) (234.65 KB)
FY15,Closed,06R-15-R6,Ameripure Oyster Plant; City of Franklin (LA),02/24/2015,Title VI: Race,"Rejected 5/5/2015 & 2/11/2016: Lack of Jurisdiction, Untimely Filed",06R-15-R6 Complaint (pdf) (2.22 MB)
FY15,Closed,05D-15-R6,Laredo (TX); Webb Co. (TX) Utilities Dept.; TCEQ,02/18/2015,Section 504: Disability,"Rejected 1/21/2016: Lack of Jurisdiction (City and County), Lack of Discriminatory Act",05D-15-R6 Complaint (pdf) (2.25 MB)
FY15,Closed,04R-15-R4,Ala. Dept. of Corrections – Limestone Corr. Fac.,02/09/2015,Unknown (envir. conditions),Rejected and Referred (DOJ) 4/3/2015: Lack of Jurisdiction,04R-15-R4 Complaint (pdf) (557.44 KB)
FY15,Resolved/In Monitoring,03R-15-R4,Jefferson Co. (AL) Dept. of Health – ABC Coke,02/06/2015,Title VI: Race,Resolved Through Informal Resolution Agreement: 7/2/2019; In Monitoring,03R-15-R4 Complaint (pdf) (12.25 MB)
FY15,Closed,02R-15-R3,Balt. County (MD) Dept. of Public Works,01/23/2015,Title VI: Race,Rejected 3/31/2015: Lack of Current Jurisdiction,02R-15-R3 Complaint (pdf) (659.74 KB)
FY15,Closed,01R-15-R4,Alabama Dept. of Corrections,01/05/2015,Unknown (envir. conditions),Rejected and Referred (DOJ) 3/27/2015: Lack of Jurisdiction,01R-15-R4 Complaint (pdf) (3.84 MB)
FY14,Closed,21R-14-R9,"Guam Office, U.S. EPA; U.S. EPA Region 9",12/08/2014,Title VI: Race,"Rejected 5/13/2015: Lack of Recipient (EPA is not “recipient” under the civil rights laws), no timeframe identified for discriminatory act",21R-14-R9 Complaint (pdf) (554.32 KB)
FY14,Closed,20R-14-R4,City of Chattanooga-Hamilton Co Air Pollution Control Bureau (TN),11/06/2014,Title VI: Race,"Rejected 2/11/2016: Discriminatory Act unclear, untimely filed",20R-14-R4 Complaint (pdf) (13.55 MB)
FY14,Closed,19NO-14-R1,Mass. Dept. of Envir. Prot.,10/29/2014,Title VI: National Origin,"Admin Closure 7/29/2016: Lack of Discriminatory Act, Lack of Complainant to Clarify",19NO-14-R1 Complaint (pdf) (118.03 KB)
FY14,Closed,18r-14-R4,City of Flovilla (GA),10/23/2014,Title VI: Retaliation,Rejected 8/28/2015: Lack of Discriminatory Act,18r-14-R4 Complaint (pdf) (1.24 MB)
FY14,Closed,17r-14-R4,City of Atlanta (GA) Watershed Mgmt.,10/22/2014,Title VI: Retaliation,"Admin Closure 11/13/2014: Complaint already w/OSHA, OSHA had sent as courtesy re: SDWA violation reporting",17r-14-R4 Complaint (pdf) (1.09 MB)
FY14,Closed,15U-14-R4,NC Dept. of Public Safety,10/14/2014,Unknown (envir. conditions),Rejected and Referred (NC DEQ) 2/12/2016: Lack of Jurisdiction,15R-14-R4 Complaint (pdf) (116.95 KB)
FY14,Closed,16NO-14-R5,Oneida Reservation,10/14/2014,Title VI: National Origin,Rejected and Referred (Oneida Nation Environmental Office) 4/20/2015: Lack of Discriminatory Act,16NO-14-R5 Complaint (pdf) (165.13 KB)
FY14,Closed,14R-14-R4,NC Dept. of Transp.,09/18/2014,Title VI: Race,Rejected and Referred (USDOT) 4/3/2017: Lack of Jurisdiction,14R-14-R4 Complaint (pdf) (1.68 MB)
FY14,Active,13R-14-R6,Albuquerque-Bernalillo County Air Quality Control Board (NM); City of Albuquerque Air Quality Division,09/16/2014,Title VI: Race,Pending: In Informal Resolution Negotiation,13R-14-R6 Complaint (pdf) (2.91 MB) 13R-14-R6 REC Acceptance (pdf) (314.62 KB) 13R-14-R6 2019 04 17 ABCAQB ADR Ltr (pdf) (309.99 KB) 13R-14-R6 2019 04 17 EHD ADR Ltr (pdf) (315.2 KB) 13R-14-R6 2020 10 16 REC Closure of ADR Mediation (pdf) (166.66 KB) 13R-14-R6 2020 11 18 EHD IRA Initiation Ltr (pdf) (149.53 KB)
FY14,Closed,11R-14-R4,NC Dept. of Envir. Quality,09/03/2014,Title VI: Race,Resolved and Closed Through ADR Settlement: 5/7/2018,114-14-R4 Complaint Redacted (PDF) (12.66 MB)
FY14,Closed,12NOD-14-R6,Lyondell Chemical Corp (TX),08/25/2014,"Title VI: National Origin
Section 504: Disability","Rejected 2/11/2016: Untimely filed, Lack of Discriminatory Act, Lack of Jurisdiction",12NOD-14-R6 Complaint (pdf) (1.41 MB) 12NOD-14-R6 REC Rejection (pdf) (315.54 KB)
FY14,Resolved/In Monitoring,10NO-14-R10,Lane Regional Air Protection Agency (OR),08/05/2014,Title VI: National Origin,Resolved Through Informal Resolution Agreement: 9/23/2019; In Monitoring,10NO-14-R10 Complaint (pdf) (5.22 MB) 10NO-14-R10 Partial Accept Ltr (pdf) (1012.62 KB) 10NO-14-R10 REC Resolution Ltr and IRA (pdf) (1.26 MB) 10NO-14-R10 Resolucion Espanol (pdf) (274.46 KB)
FY14,Closed,09R-14-R4,NC Dept. of Public Safety – Green Corr. Inst.,07/07/2014,Title VI: Race,Rejected and Referred (DOJ) 5/5/2015: Lack of Jurisdiction,09R-14-R4 Complaint (pdf) (1.79 MB) 09R-14-R4 CP Reject-Referral (pdf) (804.13 KB) 09R-14-R4 DOJ Referral (pdf) (571.75 KB)
FY14,Closed,07A-14-R9,North Coast Regional Water Quality Control Board (CA),06/19/2014,"Age Discrimination Act: Age
Title VI: Race",Rejected 6/10/2015: Unripe for Investigation,07A-14-R9 Complaint (pdf) (474.82 KB) 07A-14-R9 REC Rejection (pdf) (801.01 KB)
FY14,Closed,08R-14-R9,County of Los Angeles (CA); City of Los Angeles; Los Angeles Regional Water Quality Control Board; Los Angeles Unified School District; Shell Oil,06/07/2014,Title VI: Race,Rejected 4/13/2015: Untimely filed,08R-14-R9 Complaint (pdf) (1.53 MB) 08R-14-R9 City of LA Rejection (pdf) (314.85 KB) 08R-14-R9 County of LA DHS Rejection (pdf) (316.69 KB) 08R-14-R9 LA RWQCB Rejection (pdf) (320.72 KB) 08R-14-R9 LA USD Rejection (pdf) (318.06 KB) 08R-14-R9 Shell Rejection (pdf) (310.97 KB)
FY14,Closed,06R-14-R9,Calif. Dept. of Corrections and Rehab,06/06/2014,Title VI: Race,Rejected and Referred (DOJ) 10/1/2014: Lack of Jurisdiction,06R-14-R9 Complaint (pdf) (5.55 MB) 06R-14-R9 Recip Reject-Refer (pdf) (1.01 MB) 06R-14-R9 DOJ Referral (pdf) (1000.44 KB)
FY14,Closed,05R-14-R9,City of Oakland (CA); Port of Oakland (CA); U.S. CBP; North American 3PL,05/09/2014,Title VI: Race,Rejected and Referred (DOT) 10/10/2014: Lack of Subject-matter Jurisdiction,05R-14-R9 Complaint (pdf) (110.22 KB) 05R-14-R9 Complt Referral (pdf) (438.86 KB) 05R-14-R9 DOT Referral (pdf) (380.21 KB)
FY14,Closed,04D-14-R10,Idaho Dept. of Envir. Quality; Clearwater County (ID); City of Orofino (ID); Orofino/Whiskey Creek Water and Sewer Dist.,03/24/2014,Section 504: Disability,"Rejected 4/2/2015: Untimely Filed and Lack of Jurisdiction (1); Lack of Discriminatory Act and Lack of Jurisdiction (2); Lack of Discriminatory Act, Uncertain Timeliness and Lack of Jurisdiction (3); Lack of Discriminatory Act and Uncertain Timeliness (4)",04R-14-R10 Complaint (pdf) (1.54 MB) 04D-14-R10 County Rejection (pdf) (901.41 KB) 04D-14-R10 IDEQ Rejection (pdf) (903.4 KB)
FY14,Closed,03A-14-R6,Waller County (TX); Texas Comm. on Envir. Quality,03/12/2014,"Age Discrimination Act: Age
Title VI: Race",Rejected Without Prejudice 10/29/2014: Pending Litigation,03A-14-R6 Complaint (pdf) (662.89 KB) 03A-14-R6 REC Rejection (pdf) (905.87 KB)
FY14,Closed,01R-14-R2,Port Authority of NY & NJ,01/27/2014,Title VI: Race,Rejected 2/2/2015: Untimely filed,01R-14-R2 Complaint (pdf) (14.37 MB) 01R-14-R2 REC Rejection (pdf) (502.39 KB)
FY14,Closed,02R-14-R2,Florida Atlantic Univ.,01/12/2014,Title VI: Race,"Rejected 4/24/2014: Lack of Jurisdiction, lack of discriminatory act",02R-14-R4 Complaint (pdf) (186.93 KB) 02R-14-R4 Rejection Ltr (pdf) (754.66 KB)
