epa_file_#,named_entity_x,clean_date_received_x,detailed_status,simplified status,Reason for rejection (if applicable),Date of EPA decision,"Presidential administration (considering, if pending; decided, if not)",Environmental Justice Issue(s) Cited,Alleged Discrimination Basis,City,State,ZIP code,Community Impacted,Filed by a lawyer?,Group filing,Filed on behalf of,Is this an EPA-initiated compliance review?,Does the complaint seem to be about an environmental justice matter? ,Notes on EJ categorization,Is there more than one complaint about the matter?,All related complaint numbers,"Total related complaints (includes situations where they're all unique, e.g. complaints filed at different times)","Count this as a unique complaint? (If part of a split complaint, the case with the highest EPA action status is marked ""yes"")",Complaint link,Notes,Additional notes,status check
01r-19-r3,Virginia DEQ,2018-11-21,rejected without prejudice 12/28/2018: not ripe for review,rejected,not ripe for review,12/28/2018,Trump,"Agency approved permits for the then-proposed (later canceled) Atlantic Coast Pipeline without conducting an environmental justice analysis and assessing ""those environmental justice impacts of the proposed ACP on communities of color""",Title VI: Race,multiple,VA,multiple,Communities of color,Possibly,Blue Ridge Environmental Defense League; Concern for the New Generation; Protect Our Water; No ACP,,No,Yes,,"Yes, but separated by time","01r-18-r3, 01r-19-r3",2,yes,https://www.epa.gov/system/files/documents/2022-09/01R-19-R3%20Complaint_Redacted.pdf,"""Many of the families along the route of the proposed ACP are having their property taken through eminent domain. Though FERC’s permit is conditional, it is approving incremental construction of the proposed ACP where permits have been received and landowners have signed easements. For those fighting these easements in the courts , the courts have been, in most cases, allowing immediate access to properties without compensation. Some of the Environmental Justice Groups’ members are part of what is commonly referred to as “heired” property. “Heired” property are properties which were at one time owned by an ancestor with no will, and now the descendants of that ancestor own the property together with other heirs who may live all over the country. This puts those landowners at a disproportionate disadvantage in presenting their cases before the courts for receiving just and fair compensation for their interests.""",,Rejected without Prejudice 12/28/2018: Not Ripe for Review
01r-19-r4,City of Atlanta,2018-11-01,Rejected 5/2/2019: Allegations Insufficiently Grounded in Fact,rejected,Allegations Insufficiently Grounded in Fact,5/2/2019,Trump,Contamination potentially related to a landfill,Title VI: Race/Income,Atlanta,GA,30318,Black residents,No,Redacted individual,,No,Yes,,Yes,"01r-19-r4, 02r-19-r4",2,yes,https://www.epa.gov/system/files/documents/2022-09/01R-19-R4%20Complaint%20Redacted.pdf,Possibly related: https://www.fox5atlanta.com/news/atlanta-city-council-members-want-answers-about-hidden-city-owned-baby-gun-club-landfill,,Rejected 5/2/2019: Allegations Insufficiently Grounded in Fact
02r-19-r4,Georgia DNR,2018-11-01,Rejected 5/2/2019: Allegations Insufficiently Grounded in Fact,rejected,Allegations Insufficiently Grounded in Fact,5/2/2019,Trump,Contamination potentially related to a landfill,Title VI: Race/Income,Atlanta,GA,30318,Black residents,No,Redacted individual,,No,Yes,,Yes,"01r-19-r4, 02r-19-r4",2,no,https://www.epa.gov/system/files/documents/2022-09/02R-19-R4%20Complaint%20Redacted.pdf,,,Rejected 5/2/2019: Allegations Insufficiently Grounded in Fact
01d-19-r5,Minn. Dept. of Agriculture,2018-10-16,Resolved with Informal Resolution Agreement 8/19/2019; Monitoring Completed and Case Closed 4/28/2023,resolved: informal resolution agreement,,8/19/2019,Trump,Complainant is a worker required to pass the state's pesticide license exam. They asked the state for an exam accommodation because of a disability; the state said it would give no such accommodation. ,Section 504//Title VI: Disability,not disclosed,MN,not disclosed,Person with disabilities,No,Redacted individual,,No,Yes,"EPA took action, but the issue isn't environmental exposure",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/01D-19-R5%20Complaint%20%28Redacted%29.pdf,"The complaint was filed with Department of Justice's disability rights section (within the Civil Rights Division), which said the issues raised would be more appropriately handled by USDA. USDA, in turn, forwarded it to EPA because the two agencies have ""jurisdiction jointly"" over the issue at hand; USDA added, ""Our office will monitor your complaint.""",,Resolved with Informal Resolution Agreement 8/19/2019; Monitoring Completed and Case Closed 4/28/2023
04r-18-r9,Tetra Tech,2018-09-18,rejected 10/9/2018: lack of jurisdiction,rejected,Lack of jurisdiction,10/9/2018,Trump,Shipyard with history of radioactivity being redeveloped despite cleanup problems,Title VI: Race,San Francisco,CA,94124,"People of color, primarily Black residents",Possibly,Californians for Renewable Energy Inc.; Lynne Brown; Michael E. Boyd,,No,Yes,,Yes,"04r-18-r9, 05r-18-r9, 06r-18-r9, 07r-18-r9",4,no,https://www.epa.gov/system/files/documents/2022-09/04R-18-R9%20Complaint%20Redacted.pdf,"""Questions over the accuracy of Tetra Tech’s soil tests emerged in 2012 when the Navy flagged anomalies in the soil data gathered on one piece of the site. Despite that discovery — and a chorus of whistle-blowers who repeatedly told regulators and media outlets that Tetra Tech was lying — the $1 billion cleanup sped forward. The Navy allowed Tetra Tech to investigate and essentially exonerate itself, and the Navy and regulators continued to let Tetra Tech vouch for the safety of other pieces of the site, including the parcels now in question. ... Although the four parcels in question are relatively small, they sit next to a 75-acre tract known as Parcel A, where Lennar already has built about 300 homes and where people live and work. Because by federal law no land at the site can be transferred to the City without extensive checks for pollution, the transfer of these parcels’ points to broader dysfunction in the vetting process for all land at the former shipyard.""",,Rejected 10/9/2018: Lack of Jurisdiction
05r-18-r9,City and County of San Francisco,2018-09-18,rejected 12/20/2018: allegation not grounded in fact/not appropriate for investigation,rejected,Allegations Insufficiently Grounded in Fact,12/20/2018,Trump,Shipyard with history of radioactivity being redeveloped despite cleanup problems,Title VI: Race,San Francisco,CA,94124,"People of color, primarily Black residents",Possibly,Californians for Renewable Energy Inc.; Lynne Brown; Michael E. Boyd,,No,Yes,,Yes,"04r-18-r9, 05r-18-r9, 06r-18-r9, 07r-18-r9",4,no,https://www.epa.gov/system/files/documents/2022-09/05R-18-R9%20Complaint%20Redacted.pdf,"""Questions over the accuracy of Tetra Tech’s soil tests emerged in 2012 when the Navy flagged anomalies in the soil data gathered on one piece of the site. Despite that discovery — and a chorus of whistle-blowers who repeatedly told regulators and media outlets that Tetra Tech was lying — the $1 billion cleanup sped forward. The Navy allowed Tetra Tech to investigate and essentially exonerate itself, and the Navy and regulators continued to let Tetra Tech vouch for the safety of other pieces of the site, including the parcels now in question. ... Although the four parcels in question are relatively small, they sit next to a 75-acre tract known as Parcel A, where Lennar already has built about 300 homes and where people live and work. Because by federal law no land at the site can be transferred to the City without extensive checks for pollution, the transfer of these parcels’ points to broader dysfunction in the vetting process for all land at the former shipyard.""",,Rejected 12/20/2018: Allegation Not Grounded in Fact/Not Appropriate for Investigation
06r-18-r9,CalEPA/DTSC,2018-09-18,rejected 12/20/2018: allegation not grounded in fact/not appropriate for investigation,rejected,Allegations Insufficiently Grounded in Fact,12/20/2018,Trump,Shipyard with history of radioactivity being redeveloped despite cleanup problems,Title VI: Race,San Francisco,CA,94124,"People of color, primarily Black residents",Possibly,Californians for Renewable Energy Inc.; Lynne Brown; Michael E. Boyd,,No,Yes,,Yes,"04r-18-r9, 05r-18-r9, 06r-18-r9, 07r-18-r9",4,yes,https://www.epa.gov/system/files/documents/2022-09/06R-18-R9%20Complaint%20Redacted.pdf,"""Questions over the accuracy of Tetra Tech’s soil tests emerged in 2012 when the Navy flagged anomalies in the soil data gathered on one piece of the site. Despite that discovery — and a chorus of whistle-blowers who repeatedly told regulators and media outlets that Tetra Tech was lying — the $1 billion cleanup sped forward. The Navy allowed Tetra Tech to investigate and essentially exonerate itself, and the Navy and regulators continued to let Tetra Tech vouch for the safety of other pieces of the site, including the parcels now in question. ... Although the four parcels in question are relatively small, they sit next to a 75-acre tract known as Parcel A, where Lennar already has built about 300 homes and where people live and work. Because by federal law no land at the site can be transferred to the City without extensive checks for pollution, the transfer of these parcels’ points to broader dysfunction in the vetting process for all land at the former shipyard.""",,Rejected 12/20/2018: Allegation Not Grounded in Fact/Not Appropriate for Investigation
07r-18-r9,CA Regional Water Quality Control Board,2018-09-18,rejected 12/20/2018: allegation not grounded in fact/not appropriate for investigation,rejected,Allegations Insufficiently Grounded in Fact,12/20/2018,Trump,Shipyard with history of radioactivity being redeveloped despite cleanup problems,Title VI: Race,San Francisco,CA,94124,"People of color, primarily Black residents",Possibly,Californians for Renewable Energy Inc.; Lynne Brown; Michael E. Boyd,,No,Yes,,Yes,"04r-18-r9, 05r-18-r9, 06r-18-r9, 07r-18-r9",4,no,https://www.epa.gov/system/files/documents/2022-09/07R-18-R9%20Complaint%20Redacted.pdf,"""Questions over the accuracy of Tetra Tech’s soil tests emerged in 2012 when the Navy flagged anomalies in the soil data gathered on one piece of the site. Despite that discovery — and a chorus of whistle-blowers who repeatedly told regulators and media outlets that Tetra Tech was lying — the $1 billion cleanup sped forward. The Navy allowed Tetra Tech to investigate and essentially exonerate itself, and the Navy and regulators continued to let Tetra Tech vouch for the safety of other pieces of the site, including the parcels now in question. ... Although the four parcels in question are relatively small, they sit next to a 75-acre tract known as Parcel A, where Lennar already has built about 300 homes and where people live and work. Because by federal law no land at the site can be transferred to the City without extensive checks for pollution, the transfer of these parcels’ points to broader dysfunction in the vetting process for all land at the former shipyard.""",,Rejected 12/20/2018: Allegation Not Grounded in Fact/Not Appropriate for Investigation
05r-18-r4,South Carolina Dept. of Health and Envir. Control,2018-08-16,rejected 9/7/2018: untimely filed,rejected,untimely,9/7/2018,Trump,Chemical contamination of property owner's drinking-water well (location near a former gas station) was known to the South Carolina Department of Health and Environmental Control via test results in 2011 but not disclosed to the property owner until 2013,Title VI: Race,Ravenel,SC,29470,Predominantly Black community,No,Redacted individual,,No,Yes,The issue is that EPA considers it to be filed too late,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/05R-18-R4%20Complaint%20Redacted.pdf,,,Rejected 9/7/2018: Untimely Filed
03u-18-r3,"Moniteau School District, PA",2018-08-13,rejected 8/30/2018: lack of jurisdiction,rejected,Lack of jurisdiction,8/30/2018,Trump,"Was referred to EPA by the Department of Justice, which also referred to the Department of Education. Complainant cites discriminatory discipline of her children by a school district, including punishment after her son shared video of the school's cloudy, contaminated water.",Unknown,Harrisville,PA,16038,Not mentioned,No,Redacted individual,,No,Unlikely,"Mentions retaliation for sharing video of an enviromental concern (cloudy, contaminated water) but no mention of discrimination or a protected class",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/03U-18-R3%20Complaint%20Redacted.pdf,,,Rejected 8/30/2018: Lack of Jurisdiction
03d-18-r4,Los Angeles County Dept. of Public Works,2018-08-13,"rejected 12/20/2018: moot, not appropriate for investigation",rejected,"moot, not appropriate for investigation",12/20/2018,Trump,"Was referred to EPA by the Department of Justice. Complainant said the agency sprayed Roundup near homes without notice, making them and others sick.",Section 504: Disability,Kagel Canyon,CA,91342,Person with disabilities,No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/03D-18-R9%20Complaint%20Redacted.pdf,,,"Rejected 12/20/2018: Moot, Not Appropriate for Investigation"
04x-18-r4,Alabama Dept. of Corrections,2018-08-06,rejected and referred to doj 8/8/2018: lack of jurisdiction,rejected and referred,Lack of jurisdiction,8/8/2018,Trump,"Walker County Jail was built atop a former landfill; the building now floods because its foundation is cracking and the roof is leaking, and inmates have to walk through contaminated floodwater ""barefoot and in showerslides."" There's also mold as a result. ""Many inmates have respiratory problems and staph infections."" Includes news items about two inmates who died at the prison.",None,Jasper,AL,35501,Inmates,No,Redacted individual,,No,Yes,"No mention of protected class, though there likely is one; the jail probably doesn't receive EPA funding",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/04X-18-R4%20Complaint%20Redacted.pdf,Complaint includes affidavits from several people,,Rejected and Referred to DOJ 8/8/2018: Lack of Jurisdiction
02r-18-r3,Philadelphia Dept. of Health,2018-08-01,rejected without prejudice 8/23/2018: pending with local agency,rejected,pending with local agency,8/23/2018,Trump,"Agency issued a permit for a power plant at the city's bus facility, which already has ""adverse and disparate air pollution impacts on the residents of Nicetown, an impoverished, African-American neighborhood."" The agency receives EPA funding.",Title VI: Race,Philadelphia,PA,19140,Predominantly Black community,Possibly,"Pennsylvanians Organized to Witness, Empower, and Rebuild",,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/02R-18-R3%20Complaint%20Redacted.pdf,,,Rejected without Prejudice 8/23/2018: Pending with Local Agency
01r-18-r3,Virginia DEQ – Atlantic Coast Pipeline,2018-06-19,rejected without prejudice 8/24/2018: not ripe for investigation,rejected,not ripe for investigation,8/24/2018,Trump,"Agency ""discriminated on the basis of race in issuing permits and certifications"" to the Atlantic Coast Pipeline, failed to conduct an environmental justice analysis and failed to consult with tribal councils along the route",Title VI: Race,multiple,VA,multiple,Particularly Black and Indigenous communities,Possibly,Blue Ridge Environmental Defense League; Concern for the New Generation; Protect Our Water; No ACP,,No,Yes,,"Yes, but separated by time","01r-18-r3, 01r-19-r3",2,yes,https://www.epa.gov/system/files/documents/2022-09/01R-18-R3%20Complaint%20Redacted.pdf,Unredacted complaint: https://web.archive.org/web/20180831155747/https://www.bredl.org/pdf5/180618_Title_VI%20_Complaint.pdf,,Rejected without Prejudice 8/24/2018: Not Ripe for Investigation
03r-18-r4,Alabama Dept. of Envir. Mgmt. - Grievance Procedures,2018-06-13,Resolved with Insufficient Evidence Finding and Closed 12/3/2018,resolved: insufficient evidence,,12/3/2018,Trump,"ADEM ""does not have discrimination grievance procedures as required."" The director of the agency rescinded the procedures on June 5, 2018. ""Each of the complainants are Black and reside less than one mile from polluting facilities that are periodically issued permits by the Department. The communities in which they live are predominantly comprised of Black residents. Absent the adoption of valid discrimination grievance procedures by ADEM as required by 40 C.F.R. § 7.90(a), these individuals and the other Black members of their communities are deprived of the opportunity to seek and obtain the prompt and fair resolutions of their complaints of discrimination from ADEM.""",Title VI: Procedural Violations,not cited,AL,not cited,Black communities,Yes,David A. Ludder (attorney),Redacted individuals,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/03R-18-R4%20Complaint%20Redacted.pdf,,,Resolved with Insufficient Evidence Finding and Closed 12/3/2018
02r-18-r4,NC DEQ – Atlantic Coast Pipeline,2018-05-16,rejected without prejudice 8/24/2018: not ripe for investigation,rejected,not ripe for investigation,8/24/2018,Trump,"Agency approved permitting for the Atlantic Coast Pipeline without adequately addressing ""sociological and demographic issues in order to assess discrimination based on race and color pursuant to Title VI. ... The actions allowed by the permit decisions would have a significant and adverse impact on the health and well-being of the members of the Environmental Justice Groups, and on their families, the use and enjoyment of their property, the value of their property and other economic interests.""",Title VI: Race,multiple,NC,multiple,Particularly Black and Indigenous communities,Yes,NC WARN; Clean Water for NC; Blue Ridge Environmental Defense League; Concerned Stewards of Halifax County; Nash Stop the Pipeline; Wilson County No Pipeline; No Pipeline Johnston County; Cumberland County Caring Voices; EcoRobeson; Concerned Citizens of Tillery; Concerned Citizens of Northampton County; Friends of the Earth; the NC Environmental Justice Network ,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/02R-18-R4%20Complaint%20Redacted.pdf,Complaint attachments: https://www.epa.gov/system/files/documents/2022-09/02R-18-R4%20Complaint%20Attachment%20%28NR%29.pdf,,Rejected without Prejudice 8/24/2018: Not Ripe for Investigation
02r-18-r9,Los Angeles Unified School Dist.,2018-05-15,rejected 6/1/2018: lack of jurisdiction and untimely,rejected,"Lack of jurisdiction, untimely",6/1/2018,Trump,"Three Los Angeles Unified School District schools are within the radius of a leak from underground gas storage tanks, threatening the health of staff/students there","Title VI: Race, National Origin",Los Angeles,CA,multiple,Not mentioned,No,Redacted individual,,No,Yes,"No mention of a protected class, but the school district is 90 percent students of color",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/02R-18-R9%20Complaint%20Redacted.pdf,Complaint attachments: https://www.epa.gov/system/files/documents/2022-09/02R-18-R9%20Complt%20Attachments%20Redacted.pdf. It includes an analysis from the state's Health and Human Services Agency about the soil contamination at one of the schools that suggests it doesn't pose health risks there.,,Rejected 6/1/2018: Lack of Jurisdiction and Untimely
01r-18-r4,North Carolina DEQ,2018-03-28,rejected without prejudice 4/20/2018: pending w/state agency,rejected,pending with state agency,4/20/2018,Trump,"Agency issued a permit for a business park stormwater system that will discriminate against the ""West Badin African American community and on people of color who swim, fish, and recreate in Badin Lake, near the site."" The group challenged the permit at the state level but also filed with EPA so they wouldn't miss the timeliness deadline to file.",Title VI: Race,Badin,NC,28009,Black community in West Badin,Yes (or at least involved one),Concerned Citizens of West Badin Community,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/01R-18-R4%20Complaint%20Redacted.pdf,,This story about Badin gives a lot of historical context about segregation and pollution: https://undark.org/2021/12/15/the-long-legacy-of-a-company-town/,Rejected Without Prejudice 4/20/2018: Pending w/State Agency
01x-18-r9,"City of Wilmington, CA",2018-03-12,rejected 4/20/2018: lack of jurisdiction,rejected,Lack of jurisdiction,4/20/2018,Trump,"Relates to a project at the Port of Los Angeles, including plans to demolish shops, offices and restaurants primarily owned by people of color",None Stated,San Pedro,CA,90731,unclear,No,Coalition for a Safe Environment,,No,No,"What it outlines is more like discriminatory ""urban renewal"" causing displacement of businesses",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/01X-18-R9%20Correspondence%20Redacted.pdf,This was a request to multiple agencies for a criminal investigation. EPA forwarded to the Title VI office.,https://www.dailybreeze.com/2018/01/25/pain-unavoidable-for-tenants-in-ports-o-call-redevelopment-port-officials-say/,Rejected 4/20/2018: Lack of Jurisdiction
01x-18-r6,Texas Dept. of Criminal Justice,2018-03-06,rejected/referred to doj 3/13/2018: lack of jurisdiction,rejected and referred,Lack of jurisdiction,3/13/2018,Trump,"Water in one unit of the Walker County Jail is discolored and smells and is making inmates sick, while staff drink bottled water and say nothing is wrong with the tap water.",None Stated,Huntsville,TX,77343,Inmates,No,Redacted individual,,No,Yes,"No mention of protected class, though there likely is one; the jail probably doesn't receive EPA funding",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/01X-18-R6%20Complaint_Redacted.pdf,"""I am humbly asking that one or more agencies conduct an investigation into this matter and put a stop to this 8th Amendment violation.""",,Rejected/Referred to DOJ 3/13/2018: Lack of Jurisdiction
25r-17-r2,Bristol-Myers Squibb,2017-09-20,rejected 11/13/2017: lack of jurisdiction,rejected,Lack of jurisdiction,11/13/2017,Trump,None cited. A racial discrimination in employment complaint.,Title VI: Race,East Syracuse,NY,13057,Black employee,No,Redacted individual,,No,No,"Employment discrimination, not environmental discrimination",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/25R-17-R2%20Complaint%20Redacted.pdf,,,Rejected 11/13/2017: Lack of Jurisdiction
22rd-17-r3,"City of Norfolk, VA",2017-08-16,rejected without prejudice 5/17/2018: not ripe for investigation,rejected,not ripe for investigation,5/17/2018,Trump,Plan to demolish public housing will expose people to toxic contamination as a result of prior pollution in the soil,"Title VI: Race

Section 504:
Disability",Norfolk,VA,23510,"Not cited, but likely protected classes",No,United Front for Justice,,No,Yes,,Yes,"22rd-17-r3, 24rd-17-r3",2,yes,https://www.epa.gov/system/files/documents/2022-09/23RD-17-R3%20Complaint%20%28NR%29.pdf,,,Rejected Without Prejudice 5/17/2018: Not Ripe for Investigation
24rd-17-r3,"Norfolk Redev. and Housing Auth., VA",2017-08-16,rejected without prejudice 5/17/2018: not ripe for investigation,rejected,not ripe for investigation,5/17/2018,Trump,Plan to demolish public housing will expose people to toxic contamination as a result of prior pollution in the soil,"Title VI: Race

Section 504:
Disability",Norfolk,VA,23510,"Not cited, but likely protected classes",No,United Front for Justice,,No,Yes,,Yes,"22rd-17-r3, 24rd-17-r3",2,no,https://www.epa.gov/system/files/documents/2022-09/24RD-17-R3%20Complaint%20%28NR%29.pdf,,,Rejected Without Prejudice 5/17/2018: Not Ripe for Investigation
21x-17-r9,"Redlands, CA Resident",2017-07-25,rejected/closed 7/31/2017: no discrimination alleged,rejected,no discrimination alleged,7/31/2017,Trump,"Consumer's sparkplugs turned a red-orange color after using Arco gasoline. (This was not filed as a Title VI complaint; it was addressed, ""Attn: Consumer Complaints."")",None,Redlands,CA,92373,N/A,No,Redacted individual,,No,No,It's a consumer complaint and wasn't even intended to go to the Title VI office,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/21X-17-R9%20Complaint_Redacted.pdf,,,Rejected/Closed 7/31/2017: No Discrimination Alleged
22d-17-r3,"Franklin Township, Butler County, PA",2017-07-11,rejected 9/8/2017: lack of jurisdiction,rejected,Lack of jurisdiction,9/8/2017,Trump,"Town changed ordinances to allow fracking ""with no regard to my complaints on health requirements"" to protect people who are disabled, elderly or ill.","Section 504:
Disability",Franklin Township,PA,not disclosed,"People with disabilities, elderly or ill people",No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/22D-17-R3%20Complaint%20Redacted.pdf,,,Rejected 9/8/2017: Lack of Jurisdiction
20s-17-r10,Marketeering Group,2017-06-03,rejected/closed 6/8/2017: lack of jurisdiction,rejected,Lack of jurisdiction,6/8/2017,Trump,"None cited, though most of the complaint is redacted. It's an employment discrimination complaint.","Sex Discrimination
in Employment",Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,Redacted individual,,No,No,"Employment discrimination, not environmental discrimination",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/20X-17-R10%20Complaint%20Redacted.pdf,,,Rejected/Closed 6/8/2017: Lack of Jurisdiction
19x-17-r7,Miller County Health Dept. (MO),2017-05-16,rejected 6/19/2017: lack of jurisdiction – no discrimination alleged,rejected,"Lack of jurisdiction, no discrimination alleged",6/19/2017,Trump,Neighbor's malfuctioning septic tank is contaminating complainants' property and endangering their health; county actions haven't resolved the problem.,None,Not disclosed,MO,Not disclosed,Immune-compromised individuals,No,Redacted individuals,,No,No,"An environmental issue, but one caused by a neighbor's inability to maintain their septic tank; no discrimination cited",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/19X-17-R7%20Complaint%20Redacted.pdf,,,Rejected 6/19/2017: Lack of Jurisdiction – No Discrimination Alleged
18x-17-r5,"village of barrington, il",2017-05-10,rejected 9/14/2017: lack of jurisdiction – no discrimination alleged,rejected,"Lack of jurisdiction, no discrimination alleged",9/14/2017,Trump,"Raw sewage is coming out of manholes in parts of the village, while the village updates sewage drains in unaffected areas with EPA funding",None,Barrington,IL,60010,Not cited beyond geography,No,Redacted individual,,No,Unlikely,No protected class mentioned,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/18X-17-R5%20Complaint_Redacted.pdf,,,Rejected 9/14/2017: Lack of Jurisdiction – No Discrimination Alleged
17x-17-r4,"Franklin Correctional Inst., NC",2017-05-01,rejected 8/11/2017: lack of jurisdiction,rejected,Lack of jurisdiction,8/11/2017,Trump,"Inmate's health is deteriorating, and they suspect the cause is the asbestos they were exposed to as a youth working an after-school job where asbestos removal happened while they were on site. They're asking for help.",None,Bunn,NC,27508 ,"Inmate is the complainant, but is asking for help related to health impacts from an occupational exposure as a youth",No,Redacted individual,,No,No,An occupational exposure situation (before the complainant was imprisoned),,,1,yes,https://www.epa.gov/system/files/documents/2022-09/17X-17-R4%20Complaint_Redacted.pdf,,,Rejected 8/11/2017: Lack of Jurisdiction
16r-17-r4,Alabama Dept. of Envir. Mgmt. (Stone's Throw Landfill),2017-04-28,Resolved 12/10/2018: Preliminary Findings of Insufficient Evidence of Discrimination,resolved: insufficient evidence,,12/10/2018,Trump,"Permit renewal of Stone’s Throw Landfill did not ""evaluate whether the permit had an unjustified disparate impact"" as federal law requires. ""ADEM’s failure and disregard for the mandates of Title VI and EPA’s regulations is all the more egregious given that ADEM is currently the subject of a civil rights complaint because of the adverse disparate impacts of this very facility.""",Title VI: Race,Tallassee,AL,36078,Black community,Yes,Environmental Justice Clinic Yale Law School; NAACP Legal Defense & Educational Fund; Earthjustice,Ashurst Bar/Smith Community Organization,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/16R-17-R4%20Complaint%20%28NR%29.pdf,"""This permit was granted with a deficient method of administration that subjects Black residents of the Ashurst Bar/Smith community to racially disparate harms. These allegations are supported by data about the siting of landfills in Tallapoosa County, numerous declarations from community members, and ADEM and TCC’s failure to ever conduct even a basic disparate impact assessment for the Landfill. On these bases, we respectfully ask EPA to make a finding of discrimination. If EPA believes that there are gaps in the administrative record that preclude a conclusive finding, we respectfully ask EPA to continue its investigation and provide ABSCO with a meaningful opportunity to present further evidence so that EPA can reach a fully informed decision. """,,"Resolved 12/10/2018: Preliminary Findings of Insufficient Evidence of
Discrimination"
15x-17-r7,"City of Merriam, KS",2017-04-11,rejected and referred 4/12/2017: lack of jurisdiction,rejected and referred,Lack of jurisdiction,4/12/2017,Trump,Complaint about paint products in a company operating in violation of zoning,None,Merriam,KS,66203,Not disclosed,No,Redacted individual,,No,No,No discrimination or protected class mentioned,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/15X-17-R7%20Complaint_Redacted.pdf,,,Rejected and Referred 4/12/2017: Lack of Jurisdiction
13r-17-r9,"City of Oakland, CA & Board of Port Commissioners",2017-04-05,resolved through informal resolution agreement 7/25/2019; monitoring completed and case closed 12/19/2019,resolved: informal resolution agreement,,7/25/2019,Trump,"Port of Oakland expansions expose directly impacted West Oakland residents, nearly 80 percent of whom are people of color, to ""severe air pollution emissions without adequate mitigation.""","Title VI: Race;
National Origin",Oakland,CA,multiple,Predominantly Black and Latino community,Yes,Earthjustice,West Oakland Environmental Indicators Project ,No,Yes,,Yes,"13r-17-r9, 14r-17-r9",2,yes,https://www.epa.gov/system/files/documents/2022-09/13R-17-R9%20Complaint%20%28NR%29.pdf,,,Resolved Through Informal Resolution Agreement 7/25/2019; Monitoring Completed and Case Closed 12/19/2019
14r-17-r9,Port of Oakland & Board of Port Commissioners,2017-04-05,resolved through informal resolution agreement 7/25/2019; monitoring completed and case closed 11/27/2019,resolved: informal resolution agreement,,7/25/2019,Trump,"Port of Oakland expansions expose directly impacted West Oakland residents, nearly 80 percent of whom are people of color, to ""severe air pollution emissions without adequate mitigation.""","Title VI: Race;
National Origin",Oakland,CA,multiple,Predominantly Black and Latino community,Yes,Earthjustice,West Oakland Environmental Indicators Project ,No,Yes,,Yes,"13r-17-r9, 14r-17-r9",2,no,https://www.epa.gov/system/files/documents/2022-09/14R-17-R9%20Complaint%20%28NR%29.pdf,,,Resolved Through Informal Resolution Agreement 7/25/2019; Monitoring Completed and Case Closed 11/27/2019
11d-17-r7,"City of Merriam, KS",2017-03-31,rejected 11/24/2017: lack of jurisdiction,rejected,Lack of jurisdiction,11/24/2017,Trump,"City doesn't ban leaf burning; complainant is a disabled Vietnam veteran who writes that this situation means suffering with ""discrimination and health problems""","Section 504:
Disability",Merriam,KS,66203,Person with disabilities,No,Redacted individual,,No,Unlikely,"It's an environmental issue (pollution from burning leaves), but it doesn't seem to be describing a situation where the impact discriminates against a protected class",Yes,"11d-17-r7, 12d-17-r7",2,yes,https://www.epa.gov/system/files/documents/2022-09/11D-17-R7%20Complaint_Redacted.pdf,,,Rejected 11/24/2017: Lack of Jurisdiction
12d-17-r7,"City of Overland Park Fire Dept., KS",2017-03-31,rejected 11/24/2017: lack of jurisdiction,rejected,Lack of jurisdiction,11/24/2017,Trump,"City doesn't ban leaf burning; complainant is a disabled Vietnam veteran who writes that this situation means suffering with ""discrimination and health problems""","Section 504:
Disability",Merriam,KS,66203,Person with disabilities,No,Redacted individual,,No,Unlikely,"It's an environmental issue (pollution from burning leaves), but it doesn't seem to be describing a situation where the impact discriminates against a protected class",Yes,"11d-17-r7, 12d-17-r7",2,no,https://www.epa.gov/system/files/documents/2022-09/12D-17-R7%20Complaint_Redacted.pdf,,,Rejected 11/24/2017: Lack of Jurisdiction
